,date,mark,comment
0,2021-10-01,-13,Coronavirus 2019-nCoV
1,2021-10-02,-13,Coronavirus 2019-nCoV
2,2021-10-03,-13,Coronavirus 2019-nCoV
3,2021-10-04,-13,Coronavirus 2019-nCoV
4,2021-10-05,-13,Coronavirus 2019-nCoV
5,2021-10-06,-13,Coronavirus 2019-nCoV
6,2021-10-07,-13,Coronavirus 2019-nCoV
7,2021-10-08,-13,Coronavirus 2019-nCoV
8,2021-10-09,-13,Coronavirus 2019-nCoV
9,2021-10-10,-13,Coronavirus 2019-nCoV
10,2021-10-11,-13,Coronavirus 2019-nCoV
11,2021-10-12,-13,Coronavirus 2019-nCoV
12,2021-10-13,-13,Coronavirus 2019-nCoV
13,2021-10-14,-13,Coronavirus 2019-nCoV
14,2021-10-15,-13,Coronavirus 2019-nCoV
15,2021-10-16,-13,Coronavirus 2019-nCoV
16,2021-10-17,-13,Coronavirus 2019-nCoV
17,2021-10-18,-13,Coronavirus 2019-nCoV
18,2021-10-19,-13,Coronavirus 2019-nCoV
19,2021-10-20,-13,Coronavirus 2019-nCoV
20,2021-10-21,-13,Coronavirus 2019-nCoV
21,2021-10-22,-13,Coronavirus 2019-nCoV
22,2021-10-23,-13,Coronavirus 2019-nCoV
23,2021-10-24,-13,Coronavirus 2019-nCoV
24,2021-10-25,-13,Coronavirus 2019-nCoV
25,2021-10-26,-13,Coronavirus 2019-nCoV
26,2021-10-27,-13,Coronavirus 2019-nCoV
27,2021-10-28,-13,Coronavirus 2019-nCoV
28,2021-10-29,-13,Coronavirus 2019-nCoV
29,2021-10-30,-13,Coronavirus 2019-nCoV
30,2021-10-31,-13,Coronavirus 2019-nCoV
31,2021-11-01,-13,Coronavirus 2019-nCoV
32,2021-11-02,-13,Coronavirus 2019-nCoV
33,2021-11-03,-13,Coronavirus 2019-nCoV
34,2021-11-04,-13,Coronavirus 2019-nCoV
35,2021-11-05,-13,Coronavirus 2019-nCoV
36,2021-11-06,-13,Coronavirus 2019-nCoV
37,2021-11-07,-13,Coronavirus 2019-nCoV
38,2021-11-08,-13,Coronavirus 2019-nCoV
39,2021-11-09,-13,Coronavirus 2019-nCoV
40,2021-11-10,-13,Coronavirus 2019-nCoV
41,2021-11-11,-13,Coronavirus 2019-nCoV
42,2021-11-12,-13,Coronavirus 2019-nCoV
