,Media_Adwell_upperfunnel_native,Media_DBM_lowerfunnel_display,Media_DBM_midfunnel_display,Media_DBM_upperfunnel_display,Media_DBM_upperfunnel_video,Media_DC_DBM_upperfunnel_video,Media_Eurosize_upperfunnel_OOH_JCD,Media_Eurosize_upperfunnel_OOH_VA,Media_Facebook_lowerfunnel_display,Media_Facebook_lowerfunnel_video,Media_Facebook_upperfunnel_display,Media_Facebook_upperfunnel_video,Media_Flygstart_upperfunnel_newsletter,Media_Google_lowerfunnel_display,Media_Google_midfunnel_display,Media_Google_upperfunnel_display,Media_Google_video_lowerfunnel_Youtube,Media_Google_video_upperfunnel_Youtube,Media_HejSenior_upperfunnel_newsletter,Media_Instagram_lowerfunnel_display,Media_Instagram_lowerfunnel_video,Media_Instagram_upperfunnel_display,Media_Instagram_upperfunnel_video,Media_MediaMath_upperfunnel_video,Media_Newsletter_lowerfunnel,Media_Newsner_midfunnel_native,Media_Online_radio_upperfunnel,Media_Radio_upperfunnel,Media_Secreteescape_midfunnel_display,Media_Smarter_Travel_upperfunnel_affiliate,Media_Snapchat_upperfunnel_display,Media_Snapchat_upperfunnel_video,Media_Sociomantic_lowerfunnel_retarg_display,Media_Sociomantic_upperfunnel_prospecting_display,Media_TV_upperfunnel,Media_Tiktok_upperfunnel_video,Media_TradeTracker_upperfunnel_affiliate,Media_Youtube_Masthead_upperfunnel_video
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39993.0,19761.0,0.0,0.0,0.0,0.0,0.0,33403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,223082.0,63415.0,3293357.0,0.0,0.0,0.0
2016-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35137.0,15357.0,0.0,0.0,0.0,0.0,0.0,42484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,225972.0,65320.0,2770266.0,0.0,0.0,0.0
2016-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57579.0,45677.0,0.0,0.0,0.0,0.0,0.0,50813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,223085.0,57666.0,3767926.0,0.0,0.0,0.0
2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99102.0,42996.0,0.0,0.0,0.0,0.0,0.0,45161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1710852.0,0.0,0,0.0,0.0,223145.0,56589.0,4920162.0,0.0,0.0,0.0
2016-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112437.0,32196.0,0.0,0.0,0.0,0.0,0.0,46805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506690.0,0.0,0,0.0,0.0,223847.0,57118.0,2099131.0,0.0,0.0,0.0
2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123467.0,37199.0,0.0,0.0,0.0,0.0,0.0,48965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534926.0,0.0,0,0.0,0.0,221431.0,58658.0,3063485.0,0.0,0.0,0.0
2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124987.0,39754.0,0.0,0.0,0.0,0.0,0.0,47779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608040.0,0.0,0,0.0,0.0,225835.0,61016.0,2500459.0,0.0,0.0,0.0
2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190123.0,33330.0,0.0,0.0,0.0,0.0,0.0,48615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1792285.0,0.0,0,0.0,0.0,224276.0,61291.0,3618274.0,0.0,0.0,0.0
2016-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320104.0,36538.0,0.0,0.0,0.0,0.0,0.0,50763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320435.0,0.0,0,0.0,0.0,220920.0,63997.0,1969593.0,0.0,0.0,0.0
2016-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426575.0,42694.0,0.0,0.0,0.0,0.0,0.0,62619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744631.0,0.0,0,0.0,0.0,220038.0,65674.0,2361262.0,0.0,0.0,0.0
