id,Entity,Code,Day,stay_home_requirements
118614,Sweden,SWE,2020-01-01,0
118615,Sweden,SWE,2020-01-02,0
118616,Sweden,SWE,2020-01-03,0
118617,Sweden,SWE,2020-01-04,0
118618,Sweden,SWE,2020-01-05,0
118619,Sweden,SWE,2020-01-06,0
118620,Sweden,SWE,2020-01-07,0
118621,Sweden,SWE,2020-01-08,0
118622,Sweden,SWE,2020-01-09,0
118623,Sweden,SWE,2020-01-10,0
118624,Sweden,SWE,2020-01-11,0
118625,Sweden,SWE,2020-01-12,0
118626,Sweden,SWE,2020-01-13,0
118627,Sweden,SWE,2020-01-14,0
118628,Sweden,SWE,2020-01-15,0
118629,Sweden,SWE,2020-01-16,0
118630,Sweden,SWE,2020-01-17,0
118631,Sweden,SWE,2020-01-18,0
118632,Sweden,SWE,2020-01-19,0
118633,Sweden,SWE,2020-01-20,0
118634,Sweden,SWE,2020-01-21,0
118635,Sweden,SWE,2020-01-22,0
118636,Sweden,SWE,2020-01-23,0
118637,Sweden,SWE,2020-01-24,0
118638,Sweden,SWE,2020-01-25,0
118639,Sweden,SWE,2020-01-26,0
118640,Sweden,SWE,2020-01-27,0
118641,Sweden,SWE,2020-01-28,0
118642,Sweden,SWE,2020-01-29,0
118643,Sweden,SWE,2020-01-30,0
118644,Sweden,SWE,2020-01-31,0
118645,Sweden,SWE,2020-02-01,0
118646,Sweden,SWE,2020-02-02,0
118647,Sweden,SWE,2020-02-03,0
118648,Sweden,SWE,2020-02-04,0
118649,Sweden,SWE,2020-02-05,0
118650,Sweden,SWE,2020-02-06,0
118651,Sweden,SWE,2020-02-07,0
118652,Sweden,SWE,2020-02-08,0
118653,Sweden,SWE,2020-02-09,0
118654,Sweden,SWE,2020-02-10,0
118655,Sweden,SWE,2020-02-11,0
118656,Sweden,SWE,2020-02-12,0
118657,Sweden,SWE,2020-02-13,0
118658,Sweden,SWE,2020-02-14,0
118659,Sweden,SWE,2020-02-15,0
118660,Sweden,SWE,2020-02-16,0
118661,Sweden,SWE,2020-02-17,0
118662,Sweden,SWE,2020-02-18,0
118663,Sweden,SWE,2020-02-19,0
118664,Sweden,SWE,2020-02-20,0
118665,Sweden,SWE,2020-02-21,0
118666,Sweden,SWE,2020-02-22,0
118667,Sweden,SWE,2020-02-23,0
118668,Sweden,SWE,2020-02-24,0
118669,Sweden,SWE,2020-02-25,0
118670,Sweden,SWE,2020-02-26,0
118671,Sweden,SWE,2020-02-27,0
118672,Sweden,SWE,2020-02-28,0
118673,Sweden,SWE,2020-02-29,0
118674,Sweden,SWE,2020-03-01,0
118675,Sweden,SWE,2020-03-02,0
118676,Sweden,SWE,2020-03-03,0
118677,Sweden,SWE,2020-03-04,0
118678,Sweden,SWE,2020-03-05,0
118679,Sweden,SWE,2020-03-06,0
118680,Sweden,SWE,2020-03-07,0
118681,Sweden,SWE,2020-03-08,0
118682,Sweden,SWE,2020-03-09,0
118683,Sweden,SWE,2020-03-10,0
118684,Sweden,SWE,2020-03-11,0
118685,Sweden,SWE,2020-03-12,0
118686,Sweden,SWE,2020-03-13,0
118687,Sweden,SWE,2020-03-14,0
118688,Sweden,SWE,2020-03-15,0
118689,Sweden,SWE,2020-03-16,0
118690,Sweden,SWE,2020-03-17,0
118691,Sweden,SWE,2020-03-18,0
118692,Sweden,SWE,2020-03-19,0
118693,Sweden,SWE,2020-03-20,0
118694,Sweden,SWE,2020-03-21,0
118695,Sweden,SWE,2020-03-22,0
118696,Sweden,SWE,2020-03-23,0
118697,Sweden,SWE,2020-03-24,0
118698,Sweden,SWE,2020-03-25,1
118699,Sweden,SWE,2020-03-26,1
118700,Sweden,SWE,2020-03-27,1
118701,Sweden,SWE,2020-03-28,1
118702,Sweden,SWE,2020-03-29,1
118703,Sweden,SWE,2020-03-30,1
118704,Sweden,SWE,2020-03-31,1
118705,Sweden,SWE,2020-04-01,1
118706,Sweden,SWE,2020-04-02,1
118707,Sweden,SWE,2020-04-03,1
118708,Sweden,SWE,2020-04-04,1
118709,Sweden,SWE,2020-04-05,1
118710,Sweden,SWE,2020-04-06,1
118711,Sweden,SWE,2020-04-07,1
118712,Sweden,SWE,2020-04-08,1
118713,Sweden,SWE,2020-04-09,1
118714,Sweden,SWE,2020-04-10,1
