Date,Open,High,Low,Close
02/19/2020,"14.66","14.74","14.21","14.38"
02/18/2020,"14.98","15.49","14.53","14.83"
02/14/2020,"14.12","14.54","13.38","13.68"
02/13/2020,"14.43","15.44","14.00","14.15"
02/12/2020,"14.86","14.88","13.73","13.74"
02/11/2020,"14.91","15.27","14.38","15.18"
02/10/2020,"15.88","16.43","15.01","15.04"
02/07/2020,"15.07","16.16","14.81","15.47"
02/06/2020,"15.13","15.66","14.70","14.96"
02/05/2020,"16.29","16.32","15.02","15.15"
02/04/2020,"16.45","16.46","15.63","16.05"
02/03/2020,"18.64","18.88","17.10","17.97"
01/31/2020,"16.25","19.99","16.18","18.84"
01/30/2020,"17.82","18.39","15.30","15.49"
01/29/2020,"15.68","16.65","14.94","16.39"
01/28/2020,"16.94","18.03","15.69","16.28"
01/27/2020,"17.42","19.02","16.82","18.23"
01/24/2020,"12.75","15.98","12.62","14.56"
01/23/2020,"13.26","14.15","12.94","12.98"
01/22/2020,"12.45","13.01","12.31","12.91"
01/21/2020,"13.23","13.33","12.32","12.85"
01/20/2020,"12.21","12.48","11.75","12.10"
01/17/2020,"12.21","12.48","11.75","12.10"
01/16/2020,"12.20","12.42","11.78","12.32"
01/15/2020,"12.79","12.83","11.95","12.42"
01/14/2020,"12.72","13.82","12.05","12.39"
01/13/2020,"12.84","13.09","12.32","12.32"
01/10/2020,"12.42","12.87","12.09","12.56"
01/09/2020,"12.95","13.24","12.53","12.54"
01/08/2020,"15.16","15.24","12.83","13.45"
01/07/2020,"13.84","14.46","13.39","13.79"
01/06/2020,"15.45","16.39","13.54","13.85"
01/03/2020,"15.01","16.20","13.13","14.02"
01/02/2020,"13.46","13.72","12.42","12.47"
12/31/2019,"14.84","15.39","13.75","13.78"
12/30/2019,"13.74","15.14","13.44","14.82"
12/27/2019,"12.61","13.72","11.89","13.43"
12/26/2019,"12.74","12.75","11.72","12.65"
12/24/2019,"12.65","12.84","12.56","12.67"
12/23/2019,"12.81","12.90","12.41","12.61"
12/20/2019,"12.55","12.61","12.04","12.51"
