"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",101.0273,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",101.0538,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.981,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.769,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.5103,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.3117,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2674,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3269,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.4443,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.474,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.5791,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.8264,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.0805,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",101.2233,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.3048,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.371,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.4721,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.5061,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.4637,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.379,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.4322,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.5683,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.6393,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.629,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.6267,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.5969,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.6079,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.5899,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.5654,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.5466,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.4999,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.4397,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.4301,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.435,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.342,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.1836,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.9292,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.644,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.322,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.0212,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.88519,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.79758,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.78849,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.82165,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.86356,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",99.86544,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.82642,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.80672,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",99.84649,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",99.8953,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",99.9377,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.92934,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.78467,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.25005,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.51424,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-10",99.08207,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-11",99.12156,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.15829,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.1852,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.20722,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.23037,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.25559,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.28259,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.31158,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.34331,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-08",99.38284,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-09",99.44073,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-10",99.52638,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-11",99.65961,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2016-12",99.85454,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.0559,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.1869,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.1904,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.1406,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.137,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.2511,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.4274,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.5896,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.6854,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.7448,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.8133,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2017-12",100.921,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.0428,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.1334,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.1478,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.0933,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.9657,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-06",100.7546,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-07",100.5219,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-08",100.3456,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.2861,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.295,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.3148,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.3095,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.2846,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.2537,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.225,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.1937,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.1455,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.0631,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-07",99.94883,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.80375,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.63752,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-10",99.5097,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-11",99.49525,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-12",99.61169,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.63277,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.20813,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-03",98.07813,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2020-04",96.73458,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",99.68343,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",99.82769,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.83222,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.71832,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.4107,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.16868,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.17258,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.33298,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.34444,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.33305,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",99.38327,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",99.54932,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",99.74732,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",99.96424,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.0599,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.0117,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",99.93446,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",99.98396,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.2616,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.7356,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.2235,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.2353,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.9566,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.7182,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.7258,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.9531,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.0755,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",100.9651,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",100.7118,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",100.5031,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",100.2715,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.0478,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",99.84599,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",99.71423,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-08",99.47479,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-09",99.11562,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-10",98.79891,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-11",98.35474,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-12",98.08826,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-01",98.35833,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-02",98.80537,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.1488,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.37463,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.62299,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.87557,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.169,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.4001,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.6089,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.6328,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.5036,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.2212,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.96935,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.59084,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",98.78105,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.95719,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.4967,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.8086,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2015-12",101.0562,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2016-01",101.1567,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2016-02",101.1797,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2016-03",101.2886,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2016-04",101.4038,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2016-05",101.4283,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2016-06",101.4666,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2016-07",101.5287,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2016-08",101.5548,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2016-09",101.6034,
"POL","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.5749,
