Date,Open,High,Low,Close
02/19/2020,"579.87","579.87","579.87","579.87"
02/18/2020,"577.32","577.32","577.32","577.32"
02/17/2020,"580.02","580.02","580.02","580.02"
02/14/2020,"580.06","580.06","580.06","580.06"
02/13/2020,"579.74","579.74","579.74","579.74"
02/12/2020,"581.02","581.02","581.02","581.02"
02/11/2020,"577.51","577.51","577.51","577.51"
02/10/2020,"575.02","575.02","575.02","575.02"
02/07/2020,"573.55","573.55","573.55","573.55"
02/06/2020,"576.68","576.68","576.68","576.68"
02/05/2020,"573.46","573.46","573.46","573.46"
02/04/2020,"568.65","568.65","568.65","568.65"
02/03/2020,"560.40","560.40","560.40","560.40"
01/31/2020,"558.62","558.62","558.62","558.62"
01/30/2020,"565.50","565.50","565.50","565.50"
01/29/2020,"567.35","567.35","567.35","567.35"
01/28/2020,"567.40","567.40","567.40","567.40"
01/27/2020,"564.02","564.02","564.02","564.02"
01/24/2020,"573.29","573.29","573.29","573.29"
01/23/2020,"575.74","575.74","575.74","575.74"
01/22/2020,"577.29","577.29","577.29","577.29"
01/21/2020,"576.69","576.69","576.69","576.69"
01/20/2020,"579.07","579.07","579.07","579.07"
01/17/2020,"579.24","579.24","579.24","579.24"
01/16/2020,"576.89","576.89","576.89","576.89"
01/15/2020,"573.76","573.76","573.76","573.76"
01/14/2020,"573.37","573.37","573.37","573.37"
01/13/2020,"573.33","573.33","573.33","573.33"
01/10/2020,"570.45","570.45","570.45","570.45"
01/09/2020,"570.65","570.65","570.65","570.65"
01/08/2020,"566.82","566.82","566.82","566.82"
01/07/2020,"566.15","566.15","566.15","566.15"
01/06/2020,"566.38","566.38","566.38","566.38"
01/03/2020,"566.79","566.79","566.79","566.79"
01/02/2020,"569.75","569.75","569.75","569.75"
01/01/2020,"565.24","565.24","565.24","565.24"
12/31/2019,"565.24","565.24","565.24","565.24"
12/30/2019,"564.38","564.38","564.38","564.38"
12/27/2019,"566.85","566.85","566.85","566.85"
12/26/2019,"565.45","565.45","565.45","565.45"
12/25/2019,"563.38","563.38","563.38","563.38"
12/24/2019,"563.50","563.50","563.50","563.50"
12/23/2019,"563.43","563.43","563.43","563.43"
12/20/2019,"563.00","563.00","563.00","563.00"
12/19/2019,"561.00","561.00","561.00","561.00"
12/18/2019,"559.61","559.61","559.61","559.61"
12/17/2019,"559.90","559.90","559.90","559.90"
12/16/2019,"559.17","559.17","559.17","559.17"
12/13/2019,"555.38","555.38","555.38","555.38"
12/12/2019,"552.19","552.19","552.19","552.19"
12/11/2019,"548.40","548.40","548.40","548.40"
12/10/2019,"546.74","546.74","546.74","546.74"
12/09/2019,"547.45","547.45","547.45","547.45"
12/06/2019,"548.12","548.12","548.12","548.12"
12/05/2019,"544.00","544.00","544.00","544.00"
12/04/2019,"542.95","542.95","542.95","542.95"
12/03/2019,"540.39","540.39","540.39","540.39"
12/02/2019,"543.37","543.37","543.37","543.37"
11/29/2019,"546.69","546.69","546.69","546.69"
11/28/2019,"549.34","549.34","549.34","549.34"
11/27/2019,"549.68","549.68","549.68","549.68"
11/26/2019,"547.71","547.71","547.71","547.71"
11/25/2019,"547.17","547.17","547.17","547.17"
11/22/2019,"543.33","543.33","543.33","543.33"
11/21/2019,"542.35","542.35","542.35","542.35"
11/20/2019,"543.76","543.76","543.76","543.76"
11/19/2019,"546.17","546.17","546.17","546.17"
11/18/2019,"546.06","546.06","546.06","546.06"
11/15/2019,"545.23","545.23","545.23","545.23"
11/14/2019,"541.14","541.14","541.14","541.14"
11/13/2019,"541.88","541.88","541.88","541.88"
11/12/2019,"542.95","542.95","542.95","542.95"
11/11/2019,"542.00","542.00","542.00","542.00"
11/08/2019,"543.24","543.24","543.24","543.24"
11/07/2019,"543.31","543.31","543.31","543.31"
11/06/2019,"541.90","541.90","541.90","541.90"
11/05/2019,"541.60","541.60","541.60","541.60"
11/04/2019,"541.66","541.66","541.66","541.66"
11/01/2019,"538.76","538.76","538.76","538.76"
10/31/2019,"534.41","534.41","534.41","534.41"
10/30/2019,"535.18","535.18","535.18","535.18"
10/29/2019,"534.29","534.29","534.29","534.29"
10/28/2019,"534.02","534.02","534.02","534.02"
10/25/2019,"531.77","531.77","531.77","531.77"
10/24/2019,"530.36","530.36","530.36","530.36"
10/23/2019,"528.42","528.42","528.42","528.42"
10/22/2019,"527.76","527.76","527.76","527.76"
10/21/2019,"528.49","528.49","528.49","528.49"
10/18/2019,"525.25","525.25","525.25","525.25"
10/16/2019,"525.27","525.27","525.27","525.27"
10/15/2019,"525.25","525.25","525.25","525.25"
10/14/2019,"520.63","520.63","520.63","520.63"
10/11/2019,"521.14","521.14","521.14","521.14"
10/10/2019,"514.07","514.07","514.07","514.07"
10/09/2019,"511.21","511.21","511.21","511.21"
10/08/2019,"508.42","508.42","508.42","508.42"
10/07/2019,"514.28","514.28","514.28","514.28"
10/04/2019,"514.85","514.85","514.85","514.85"
10/03/2019,"509.84","509.84","509.84","509.84"
10/02/2019,"507.57","507.57","507.57","507.57"
10/01/2019,"515.95","515.95","515.95","515.95"
09/30/2019,"520.65","520.65","520.65","520.65"
09/27/2019,"519.73","519.73","519.73","519.73"
09/26/2019,"521.87","521.87","521.87","521.87"
09/25/2019,"521.88","521.88","521.88","521.88"
09/24/2019,"521.70","521.70","521.70","521.70"
09/23/2019,"524.40","524.40","524.40","524.40"
09/20/2019,"525.57","525.57","525.57","525.57"
09/19/2019,"526.79","526.79","526.79","526.79"
09/18/2019,"526.31","526.31","526.31","526.31"
09/17/2019,"526.32","526.32","526.32","526.32"
