Open,Close,High,Low,Volume,Date
60.2,59.24,60.29,58.59,,02/19/21
61.68,60.52,62.26,59.79,,02/18/21
60.24,61.14,61.73,59.43,,02/17/21
59.98,60.05,60.95,59.33,,02/16/21
57.94,59.47,59.82,57.41,,02/12/21
58.4,58.24,58.71,57.84,,02/11/21
58.45,58.68,58.91,58.08,,02/10/21
58.11,58.36,58.62,57.27,,02/09/21
57.06,57.97,58.14,57,,02/08/21
56.46,56.85,57.29,56.43,,02/05/21
55.96,56.23,56.58,55.3,,02/04/21
55.05,55.69,56.33,54.81,,02/03/21
53.48,54.76,55.26,53.45,,02/02/21
51.99,53.55,53.74,51.64,,02/01/21
52.15,52.2,53.25,51.93,,01/29/21
52.65,52.34,53.58,52.04,,01/28/21
52.76,52.85,53.3,51.85,,01/27/21
52.91,52.61,53.25,52.29,,01/26/21
52.17,52.77,52.95,51.82,,01/25/21
53.1,52.27,53.16,51.44,,01/22/21
0,53.13,53.41,52.75,,01/21/21
53.13,53.24,53.79,53.05,,01/20/21
52,52.98,53.13,51.76,,01/19/21
53.8,52.36,53.83,51.83,,01/15/21
52.84,53.57,53.75,52.24,,01/14/21
53.31,52.91,53.93,52.58,,01/13/21
52.18,53.21,53.45,52.07,,01/12/21
52.58,52.25,52.7,51.5,,01/11/21
50.93,52.24,52.75,50.81,,01/08/21
50.53,50.83,51.28,50.39,,01/07/21
49.82,50.63,50.94,49.48,,01/06/21
47.38,49.93,50.2,47.24,,01/05/21
48.4,47.62,49.83,47.18,,01/04/21
48.35,48.52,48.58,47.77,,12/31/20
48.13,48.4,48.66,47.61,,12/30/20
47.72,48,48.35,47.68,,12/29/20
48.23,47.62,48.96,47.5,,12/28/20
48.09,48.23,48.62,47.56,,12/24/20
46.79,48.12,48.5,46.16,,12/23/20
0,47.02,0,46.6,,12/22/20
48.54,47.74,48.61,46.18,,12/21/20
48.43,49.1,49.28,48.1,,12/18/20
47.85,48.36,48.59,47.81,,12/17/20
47.6,47.82,47.94,47.17,,12/16/20
46.99,47.62,47.73,46.54,,12/15/20
46.73,46.99,47.44,45.69,,12/14/20
46.97,46.57,47.29,46.34,,12/11/20
45.69,46.78,47.74,45.52,,12/10/20
45.6,45.52,46.24,44.95,,12/09/20
45.66,45.6,45.93,45.14,,12/08/20
46.15,45.76,46.54,45.36,,12/07/20
45.64,46.26,46.68,45.61,,12/04/20
44.99,45.64,45.84,44.66,,12/03/20
44.38,45.28,45.92,43.92,,12/02/20
45.08,44.55,45.7,44.12,,12/01/20
45.34,45.34,45.8,44.42,,11/30/20
