sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2020-02-19;732,77;726,16;732,67;;1;;
2020-02-18;729,79;722,81;724,08;;1;;
2020-02-17;732,16;728,75;729,45;;1;;
2020-02-14;729,01;725,89;727,74;;1;;
2020-02-13;725,35;718,41;725,35;;1;;
2020-02-12;725,85;720,98;724,66;;1;;
2020-02-11;722,25;715,98;721,81;;1;;
2020-02-10;712,17;707,00;711,51;;1;;
2020-02-07;711,59;706,71;708,60;;1;;
2020-02-06;717,26;708,75;711,14;;1;;
2020-02-05;714,26;702,50;712,27;;1;;
2020-02-04;703,46;691,81;703,46;;1;;
2020-02-03;690,52;684,72;688,72;;1;;
2020-01-31;696,08;687,70;689,06;;1;;
2020-01-30;696,96;688,21;690,67;;1;;
2020-01-29;694,97;690,51;693,57;;1;;
2020-01-28;691,82;682,02;690,29;;1;;
2020-01-27;693,05;684,22;685,48;;1;;
2020-01-24;703,41;696,47;700,45;;1;;
2020-01-23;699,51;692,06;693,20;;1;;
2020-01-22;707,00;700,90;701,05;;1;;
2020-01-21;704,77;697,28;704,42;;1;;
2020-01-20;708,23;704,03;705,08;;1;;
2020-01-17;706,73;701,84;704,96;;1;;
2020-01-16;699,67;690,50;699,67;;1;;
2020-01-15;692,44;688,07;690,37;;1;;
2020-01-14;693,05;685,38;692,19;;1;;
2020-01-13;694,20;689,70;692,00;;1;;
2020-01-10;693,28;689,69;689,72;;1;;
2020-01-09;693,70;690,30;691,76;;1;;
2020-01-08;689,18;681,66;688,86;;1;;
2020-01-07;692,03;686,50;689,23;;1;;
2020-01-03;689,38;684,22;686,60;;1;;
2020-01-02;693,83;682,86;693,56;;1;;
2019-12-30;688,64;680,28;680,81;;1;;
2019-12-27;689,11;686,83;688,74;;1;;
2019-12-23;687,54;684,26;686,39;;1;;
2019-12-20;685,06;679,72;685,06;;1;;
2019-12-19;679,99;676,39;679,35;;1;;
2019-12-18;680,71;676,95;678,79;;1;;
2019-12-17;679,53;675,86;679,53;;1;;
2019-12-16;677,28;671,90;677,28;;1;;
2019-12-13;674,33;669,58;671,48;;1;;
2019-12-12;668,54;660,14;667,55;;1;;
2019-12-11;663,69;657,49;663,22;;1;;
2019-12-10;662,84;654,93;661,27;;1;;
2019-12-09;665,03;662,39;663,20;;1;;
2019-12-06;663,79;658,12;663,79;;1;;
2019-12-05;660,59;655,78;656,94;;1;;
2019-12-04;656,69;647,05;656,69;;1;;
2019-12-03;655,54;645,41;646,86;;1;;
2019-12-02;662,69;650,23;650,83;;1;;
2019-11-29;658,83;653,59;657,41;;1;;
2019-11-28;658,64;656,41;657,66;;1;;
2019-11-27;662,78;658,20;659,03;;1;;
2019-11-26;660,74;656,10;660,52;;1;;
2019-11-25;658,51;655,16;658,50;;1;;
2019-11-22;654,17;650,20;651,98;;1;;
2019-11-21;653,71;648,39;650,61;;1;;
2019-11-20;655,47;652,73;654,43;;1;;
2019-11-19;661,44;655,76;656,88;;1;;
2019-11-18;662,08;655,50;656,73;;1;;
2019-11-15;663,91;655,33;659,84;;1;;
2019-11-14;662,64;659,05;659,60;;1;;
2019-11-13;662,60;656,76;661,63;;1;;
2019-11-12;665,10;659,46;664,42;;1;;
2019-11-11;663,30;659,09;660,75;;1;;
2019-11-08;662,11;657,32;662,09;;1;;
2019-11-07;663,83;658,87;658,87;;1;;
2019-11-06;661,12;657,28;658,21;;1;;
2019-11-05;660,50;656,28;658,97;;1;;
2019-11-04;659,94;652,51;659,93;;1;;
2019-11-01;649,91;648,13;649,27;;1;;
2019-10-31;653,83;646,34;647,49;;1;;
2019-10-30;652,43;648,68;652,20;;1;;
2019-10-29;654,18;646,98;649,53;;1;;
2019-10-28;654,60;651,02;654,23;;1;;
2019-10-25;650,98;645,97;650,98;;1;;
2019-10-24;647,02;641,32;647,02;;1;;
2019-10-23;643,32;638,98;643,32;;1;;
2019-10-22;645,51;642,25;642,92;;1;;
2019-10-21;642,30;635,79;642,16;;1;;
2019-10-18;636,79;630,86;636,57;;1;;
2019-10-17;636,28;630,89;633,43;;1;;
2019-10-16;631,80;629,04;630,83;;1;;
2019-10-15;631,91;626,05;630,34;;1;;
2019-10-14;624,26;619,57;624,26;;1;;
2019-10-11;623,96;616,34;623,83;;1;;
2019-10-10;616,54;609,02;616,30;;1;;
2019-10-09;615,09;607,12;613,95;;1;;
2019-10-08;614,45;606,07;608,83;;1;;
2019-10-07;612,83;605,47;612,50;;1;;
2019-10-04;605,30;601,21;605,12;;1;;
2019-10-03;607,60;597,46;602,23;;1;;
2019-10-02;618,37;604,17;604,77;;1;;
2019-10-01;627,19;618,97;620,25;;1;;
2019-09-30;624,62;621,94;624,14;;1;;
2019-09-27;622,69;618,83;622,69;;1;;
2019-09-26;619,31;612,68;618,03;;1;;
2019-09-25;616,55;608,35;613,69;;1;;
2019-09-24;622,37;619,31;619,31;;1;;
2019-09-23;629,26;617,18;619,99;;1;;
2019-09-20;632,16;628,50;629,90;;1;;
2019-09-19;630,92;626,96;630,41;;1;;
2019-09-18;629,42;623,51;627,73;;1;;
2019-09-17;625,04;620,38;623,96;;1;;
2019-09-16;626,69;624,06;625,13;;1;;
2019-09-13;628,57;624,84;628,57;;1;;
2019-09-12;625,42;621,73;624,23;;1;;
2019-09-11;619,96;616,38;619,96;;1;;
2019-09-10;615,30;611,25;614,95;;1;;
2019-09-09;614,37;611,76;612,83;;1;;
2019-09-06;612,51;610,14;612,51;;1;;
2019-09-05;613,39;608,33;610,41;;1;;
2019-09-04;610,56;607,06;608,89;;1;;
2019-09-03;606,97;602,88;604,20;;1;;
2019-09-02;609,21;604,80;605,11;;1;;
2019-08-30;608,40;600,61;606,59;;1;;
2019-08-29;599,33;590,80;599,33;;1;;
2019-08-28;591,87;585,84;590,02;;1;;
2019-08-27;591,21;586,39;590,84;;1;;
2019-08-26;588,70;581,07;587,37;;1;;
2019-08-23;597,88;589,01;589,01;;1;;
2019-08-22;597,22;592,86;593,79;;1;;
2019-08-21;598,97;593,71;597,35;;1;;
2019-08-20;596,65;592,51;593,03;;1;;
2019-08-19;593,54;586,73;593,54;;1;;
2019-08-16;585,76;580,35;585,76;;1;;
2019-08-15;582,69;570,77;578,52;;1;;
2019-08-14;593,66;579,46;580,05;;1;;
2019-08-13;595,85;583,40;593,21;;1;;
2019-08-12;598,65;589,85;591,69;;1;;
2019-08-09;598,19;591,61;592,05;;1;;
2019-08-08;598,37;591,54;598,37;;1;;
2019-08-07;594,67;586,33;590,23;;1;;
2019-08-06;595,95;587,99;588,69;;1;;
2019-08-05;599,49;589,95;592,21;;1;;
2019-08-02;611,35;604,92;606,02;;1;;
2019-08-01;620,60;611,76;619,54;;1;;
2019-07-31;616,52;613,51;615,13;;1;;
2019-07-30;619,38;612,47;614,72;;1;;
2019-07-29;620,17;615,58;618,80;;1;;
2019-07-26;619,32;616,47;617,98;;1;;
2019-07-25;622,96;613,25;616,94;;1;;
2019-07-24;623,29;618,10;619,32;;1;;
2019-07-23;623,36;617,16;622,77;;1;;
2019-07-22;617,16;613,54;616,01;;1;;
2019-07-19;615,80;609,12;615,80;;1;;
2019-07-18;610,18;604,77;607,85;;1;;
2019-07-17;621,63;612,90;613,38;;1;;
2019-07-16;621,97;618,51;621,07;;1;;
2019-07-15;625,36;618,49;623,60;;1;;
2019-07-12;621,42;617,76;620,61;;1;;
2019-07-11;621,67;615,48;616,59;;1;;
2019-07-10;623,30;618,38;619,07;;1;;
2019-07-09;622,96;618,66;620,77;;1;;
2019-07-08;625,39;620,08;624,13;;1;;
2019-07-05;625,94;617,19;620,68;;1;;
2019-07-04;626,97;624,89;626,53;;1;;
2019-07-03;626,82;621,22;624,91;;1;;
2019-07-02;622,93;619,77;622,62;;1;;
2019-07-01;621,54;617,68;620,82;;1;;
2019-06-28;614,76;611,48;613,72;;1;;
2019-06-27;613,47;608,93;611,35;;1;;
2019-06-26;611,26;606,98;609,18;;1;;
2019-06-25;612,57;609,90;611,24;;1;;
2019-06-24;619,58;611,22;611,52;;1;;
2019-06-20;619,70;616,88;617,34;;1;;
2019-06-19;614,36;611,57;613,34;;1;;
2019-06-18;613,89;600,43;613,44;;1;;
