Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet
2016-01-01 00:00:01;2016-01-02 00:00:00;2016-01-01;1.0;Y
2016-01-02 00:00:01;2016-01-03 00:00:00;2016-01-02;-2.9;Y
2016-01-03 00:00:01;2016-01-04 00:00:00;2016-01-03;-4.6;Y
2016-01-04 00:00:01;2016-01-05 00:00:00;2016-01-04;-5.8;Y
2016-01-05 00:00:01;2016-01-06 00:00:00;2016-01-05;-7.9;Y
2016-01-06 00:00:01;2016-01-07 00:00:00;2016-01-06;-11.5;Y
2016-01-07 00:00:01;2016-01-08 00:00:00;2016-01-07;-10.3;Y
2016-01-08 00:00:01;2016-01-09 00:00:00;2016-01-08;-5.9;Y
2016-01-09 00:00:01;2016-01-10 00:00:00;2016-01-09;-7.7;Y
2016-01-10 00:00:01;2016-01-11 00:00:00;2016-01-10;-2.6;Y
2016-01-11 00:00:01;2016-01-12 00:00:00;2016-01-11;1.3;Y
2016-01-12 00:00:01;2016-01-13 00:00:00;2016-01-12;-3.6;Y
2016-01-13 00:00:01;2016-01-14 00:00:00;2016-01-13;-6.7;Y
2016-01-14 00:00:01;2016-01-15 00:00:00;2016-01-14;-12.5;Y
2016-01-15 00:00:01;2016-01-16 00:00:00;2016-01-15;-13.1;Y
2016-01-16 00:00:01;2016-01-17 00:00:00;2016-01-16;-12.2;Y
2016-01-17 00:00:01;2016-01-18 00:00:00;2016-01-17;-9.5;Y
2016-01-18 00:00:01;2016-01-19 00:00:00;2016-01-18;-6.3;Y
2016-01-19 00:00:01;2016-01-20 00:00:00;2016-01-19;-6.9;Y
2016-01-20 00:00:01;2016-01-21 00:00:00;2016-01-20;-7.7;Y
2016-01-21 00:00:01;2016-01-22 00:00:00;2016-01-21;-7.0;Y
2016-01-22 00:00:01;2016-01-23 00:00:00;2016-01-22;-9.8;Y
2016-01-23 00:00:01;2016-01-24 00:00:00;2016-01-23;-2.2;Y
2016-01-24 00:00:01;2016-01-25 00:00:00;2016-01-24;-0.0;Y
2016-01-25 00:00:01;2016-01-26 00:00:00;2016-01-25;0.7;Y
2016-01-26 00:00:01;2016-01-27 00:00:00;2016-01-26;4.0;Y
2016-01-27 00:00:01;2016-01-28 00:00:00;2016-01-27;5.5;Y
