Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2013-01-01 00:00:01;2013-01-02 00:00:00;2013-01-01;4.1;Y
2013-01-02 00:00:01;2013-01-03 00:00:00;2013-01-02;1.6;Y
2013-01-03 00:00:01;2013-01-04 00:00:00;2013-01-03;0.5;Y
2013-01-04 00:00:01;2013-01-05 00:00:00;2013-01-04;3.0;Y
2013-01-05 00:00:01;2013-01-06 00:00:00;2013-01-05;-1.0;Y
2013-01-06 00:00:01;2013-01-07 00:00:00;2013-01-06;-2.0;Y
2013-01-07 00:00:01;2013-01-08 00:00:00;2013-01-07;-1.0;Y
2013-01-08 00:00:01;2013-01-09 00:00:00;2013-01-08;0.6;Y
2013-01-09 00:00:01;2013-01-10 00:00:00;2013-01-09;-0.6;Y
2013-01-10 00:00:01;2013-01-11 00:00:00;2013-01-10;-2.0;Y
2013-01-11 00:00:01;2013-01-12 00:00:00;2013-01-11;-3.5;Y
2013-01-12 00:00:01;2013-01-13 00:00:00;2013-01-12;-5.3;Y
2013-01-13 00:00:01;2013-01-14 00:00:00;2013-01-13;-7.0;Y
2013-01-14 00:00:01;2013-01-15 00:00:00;2013-01-14;-4.1;Y
2013-01-15 00:00:01;2013-01-16 00:00:00;2013-01-15;-2.7;Y
2013-01-16 00:00:01;2013-01-17 00:00:00;2013-01-16;-3.3;Y
2013-01-17 00:00:01;2013-01-18 00:00:00;2013-01-17;-4.4;Y
2013-01-18 00:00:01;2013-01-19 00:00:00;2013-01-18;-9.4;Y
2013-01-19 00:00:01;2013-01-20 00:00:00;2013-01-19;-14.1;Y
2013-01-20 00:00:01;2013-01-21 00:00:00;2013-01-20;-5.1;Y
2013-01-21 00:00:01;2013-01-22 00:00:00;2013-01-21;-5.8;Y
2013-01-22 00:00:01;2013-01-23 00:00:00;2013-01-22;-10.2;Y
2013-01-23 00:00:01;2013-01-24 00:00:00;2013-01-23;-10.6;Y
2013-01-24 00:00:01;2013-01-25 00:00:00;2013-01-24;-10.9;Y
2013-01-25 00:00:01;2013-01-26 00:00:00;2013-01-25;-9.9;Y
2013-01-26 00:00:01;2013-01-27 00:00:00;2013-01-26;-4.8;Y
2013-01-27 00:00:01;2013-01-28 00:00:00;2013-01-27;-2.6;Y
2013-01-28 00:00:01;2013-01-29 00:00:00;2013-01-28;1.8;Y
2013-01-29 00:00:01;2013-01-30 00:00:00;2013-01-29;1.9;Y
2013-01-30 00:00:01;2013-01-31 00:00:00;2013-01-30;2.9;Y
2013-01-31 00:00:01;2013-02-01 00:00:00;2013-01-31;2.3;Y
2013-02-01 00:00:01;2013-02-02 00:00:00;2013-02-01;-1.8;Y
2013-02-02 00:00:01;2013-02-03 00:00:00;2013-02-02;-3.8;Y
2013-02-03 00:00:01;2013-02-04 00:00:00;2013-02-03;-3.5;Y
2013-02-04 00:00:01;2013-02-05 00:00:00;2013-02-04;-0.2;Y
2013-02-05 00:00:01;2013-02-06 00:00:00;2013-02-05;1.4;Y
2013-02-06 00:00:01;2013-02-07 00:00:00;2013-02-06;-0.4;Y
2013-02-07 00:00:01;2013-02-08 00:00:00;2013-02-07;0.1;Y
2013-02-08 00:00:01;2013-02-09 00:00:00;2013-02-08;-1.4;Y
