Datum,Senaste,Öppen,Högst,Lägst,+/- %
2016-01-01,"0,1090","0,1090","0,1092","0,1089","0,00%"
2016-01-02,"0,1090","0,1090","0,1092","0,1089","0,00%"
2016-01-03,"0,1090","0,1090","0,1092","0,1089","0,00%"
2016-01-04,"0,1086","0,1089","0,1094","0,1084","-0,37%"
2016-01-05,"0,1082","0,1086","0,1087","0,1080","-0,37%"
2016-01-06,"0,1081","0,1082","0,1086","0,1078","-0,09%"
2016-01-07,"0,1081","0,1080","0,1083","0,1076","0,00%"
2016-01-08,"0,1076","0,1080","0,1084","0,1075","-0,46%"
2016-01-09,"0,1076","0,1080","0,1084","0,1075","-0,46%"
2016-01-10,"0,1076","0,1080","0,1084","0,1075","-0,46%"
2016-01-11,"0,1079","0,1077","0,1081","0,1074","0,28%"
2016-01-12,"0,1080","0,1078","0,1082","0,1076","0,09%"
2016-01-13,"0,1078","0,1079","0,1084","0,1077","-0,19%"
2016-01-14,"0,1076","0,1077","0,1081","0,1073","-0,19%"
2016-01-15,"0,1066","0,1076","0,1079","0,1063","-0,93%"
2016-01-16,"0,1066","0,1076","0,1079","0,1063","-0,93%"
2016-01-17,"0,1066","0,1076","0,1079","0,1063","-0,93%"
2016-01-18,"0,1071","0,1066","0,1071","0,1064","0,47%"
2016-01-19,"0,1074","0,1070","0,1076","0,1068","0,28%"
2016-01-20,"0,1069","0,1073","0,1074","0,1065","-0,47%"
2016-01-21,"0,1074","0,1068","0,1079","0,1066","0,47%"
2016-01-22,"0,1079","0,1074","0,1079","0,1073","0,47%"
2016-01-23,"0,1079","0,1074","0,1079","0,1073","0,47%"
2016-01-24,"0,1079","0,1074","0,1079","0,1073","0,47%"
2016-01-25,"0,1076","0,1079","0,1080","0,1075","-0,28%"
2016-01-26,"0,1078","0,1076","0,1081","0,1072","0,19%"
2016-01-27,"0,1079","0,1077","0,1081","0,1075","0,09%"
2016-01-28,"0,1074","0,1078","0,1081","0,1072","-0,46%"
2016-01-29,"0,1076","0,1074","0,1079","0,1069","0,19%"
2016-01-30,"0,1076","0,1074","0,1079","0,1069","0,19%"
2016-01-31,"0,1076","0,1074","0,1079","0,1069","0,19%"
2016-02-01,"0,1077","0,1076","0,1079","0,1074","0,09%"
2016-02-02,"0,1071","0,1077","0,1078","0,1067","-0,56%"
2016-02-03,"0,1069","0,1070","0,1072","0,1064","-0,19%"
2016-02-04,"0,1063","0,1068","0,1069","0,1060","-0,56%"
2016-02-05,"0,1058","0,1062","0,1065","0,1056","-0,47%"
2016-02-06,"0,1058","0,1062","0,1065","0,1056","-0,47%"
2016-02-07,"0,1058","0,1062","0,1065","0,1056","-0,47%"
2016-02-08,"0,1058","0,1058","0,1064","0,1055","0,00%"
