,Price,Open,High,Low,Change %
2016-01-01,0.1184,0.1184,0.1184,0.1183,0.00%
2016-01-02,0.1184,0.1184,0.1184,0.1183,0.00%
2016-01-03,0.1184,0.1184,0.1184,0.1183,0.00%
2016-01-04,0.1177,0.1184,0.1191,0.1173,-0.59%
2016-01-05,0.1163,0.1177,0.1177,0.1158,-1.19%
2016-01-06,0.1164,0.1163,0.1167,0.1161,0.09%
2016-01-07,0.1182,0.1164,0.1182,0.1163,1.55%
2016-01-08,0.1177,0.1181,0.1182,0.1165,-0.42%
2016-01-09,0.1177,0.1181,0.1182,0.1165,-0.42%
2016-01-10,0.1177,0.1181,0.1182,0.1165,-0.42%
2016-01-11,0.1171,0.1176,0.1178,0.117,-0.51%
2016-01-12,0.1172,0.1171,0.1175,0.1167,0.09%
2016-01-13,0.1172,0.1172,0.1175,0.1167,0.00%
2016-01-14,0.1169,0.1172,0.1177,0.1167,-0.26%
2016-01-15,0.1164,0.1167,0.1174,0.1163,-0.43%
2016-01-16,0.1164,0.1167,0.1174,0.1163,-0.43%
2016-01-17,0.1164,0.1167,0.1174,0.1163,-0.43%
2016-01-18,0.1166,0.1165,0.1167,0.1161,0.17%
2016-01-19,0.1171,0.1166,0.1174,0.1163,0.43%
2016-01-20,0.1164,0.1171,0.1175,0.1161,-0.60%
2016-01-21,0.1168,0.1164,0.117,0.1155,0.34%
2016-01-22,0.1166,0.1168,0.1172,0.1162,-0.17%
2016-01-23,0.1166,0.1168,0.1172,0.1162,-0.17%
2016-01-24,0.1166,0.1168,0.1172,0.1162,-0.17%
2016-01-25,0.1167,0.1165,0.1169,0.1163,0.09%
2016-01-26,0.1172,0.1168,0.1172,0.1166,0.43%
2016-01-27,0.1175,0.1171,0.1179,0.1168,0.26%
2016-01-28,0.1175,0.1175,0.1177,0.117,0.00%
2016-01-29,0.1166,0.1175,0.1178,0.116,-0.77%
2016-01-30,0.1166,0.1175,0.1178,0.116,-0.77%
2016-01-31,0.1166,0.1175,0.1178,0.116,-0.77%
2016-02-01,0.1173,0.1166,0.1175,0.1162,0.60%
2016-02-02,0.1169,0.1172,0.1174,0.1164,-0.34%
