,Price,Open,High,Low,Change %
2013-01-01,0.1538,0.1537,0.1542,0.1529,0.00%
2013-01-02,0.1542,0.1536,0.1551,0.1535,0.26%
2013-01-03,0.1531,0.1541,0.1543,0.1529,-0.71%
2013-01-04,0.153,0.1531,0.1533,0.1521,-0.07%
2013-01-05,0.153,0.1531,0.1533,0.1521,-0.07%
2013-01-06,0.153,0.1531,0.1533,0.1521,-0.07%
2013-01-07,0.1537,0.1529,0.154,0.1522,0.46%
2013-01-08,0.1526,0.1536,0.1542,0.1522,-0.72%
2013-01-09,0.1524,0.1524,0.1528,0.1515,-0.13%
2013-01-10,0.154,0.1523,0.1545,0.1519,1.05%
2013-01-11,0.1547,0.154,0.1547,0.1534,0.45%
2013-01-12,0.1547,0.154,0.1547,0.1534,0.45%
2013-01-13,0.1547,0.154,0.1547,0.1534,0.45%
2013-01-14,0.1552,0.1549,0.1553,0.1544,0.32%
2013-01-15,0.1539,0.1551,0.1554,0.1532,-0.84%
2013-01-16,0.1537,0.1538,0.1541,0.1528,-0.13%
2013-01-17,0.154,0.1537,0.155,0.1534,0.20%
2013-01-18,0.1534,0.154,0.1544,0.1526,-0.39%
2013-01-19,0.1534,0.154,0.1544,0.1526,-0.39%
2013-01-20,0.1534,0.154,0.1544,0.1526,-0.39%
2013-01-21,0.1532,0.153,0.1538,0.1525,-0.13%
2013-01-22,0.1537,0.1531,0.1542,0.1528,0.33%
2013-01-23,0.1534,0.1536,0.1539,0.1525,-0.20%
2013-01-24,0.154,0.1532,0.1541,0.1527,0.39%
2013-01-25,0.1548,0.154,0.1553,0.1536,0.52%
2013-01-26,0.1548,0.154,0.1553,0.1536,0.52%
2013-01-27,0.1548,0.154,0.1553,0.1536,0.52%
2013-01-28,0.1557,0.1546,0.1562,0.1541,0.58%
2013-01-29,0.157,0.1557,0.1571,0.1553,0.83%
2013-01-30,0.1575,0.157,0.1578,0.1567,0.32%
2013-01-31,0.1573,0.1575,0.1578,0.1567,-0.13%
2013-02-01,0.1585,0.1572,0.1594,0.1569,0.76%
2013-02-02,0.1585,0.1572,0.1594,0.1569,0.76%
2013-02-03,0.1585,0.1572,0.1594,0.1569,0.76%
2013-02-04,0.158,0.1583,0.1589,0.1576,-0.32%
2013-02-05,0.1582,0.158,0.1587,0.1573,0.13%
2013-02-06,0.1572,0.1581,0.1585,0.1569,-0.63%
2013-02-07,0.1558,0.1571,0.1579,0.1551,-0.89%
2013-02-08,0.1551,0.1558,0.1563,0.1548,-0.45%
2013-02-09,0.1551,0.1558,0.1563,0.1548,-0.45%
2013-02-10,0.1551,0.1558,0.1563,0.1548,-0.45%
2013-02-11,0.1565,0.1551,0.1568,0.1549,0.90%
2013-02-12,0.157,0.1564,0.1576,0.1558,0.32%
2013-02-13,0.159,0.1571,0.1594,0.1567,1.27%
2013-02-14,0.1583,0.159,0.1594,0.1572,-0.44%
2013-02-15,0.1583,0.1583,0.1588,0.1571,0.00%
2013-02-16,0.1583,0.1583,0.1588,0.1571,0.00%
2013-02-17,0.1583,0.1583,0.1588,0.1571,0.00%
2013-02-18,0.1575,0.1579,0.1583,0.1572,-0.51%
2013-02-19,0.1586,0.1575,0.1589,0.1571,0.70%
2013-02-20,0.1575,0.1586,0.1593,0.1572,-0.69%
2013-02-21,0.1557,0.1575,0.1578,0.155,-1.14%
2013-02-22,0.1558,0.1556,0.1568,0.155,0.06%
2013-02-23,0.1558,0.1556,0.1568,0.155,0.06%
2013-02-24,0.1558,0.1556,0.1568,0.155,0.06%
2013-02-25,0.1543,0.1562,0.1573,0.1541,-0.96%
2013-02-26,0.1548,0.1544,0.1551,0.1539,0.32%
2013-02-27,0.1555,0.1548,0.1557,0.1543,0.45%
