"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",97.52936,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",97.39891,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",97.5868,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",97.92983,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",98.13994,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",98.12236,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",98.06615,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",98.22127,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",98.5641,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.09314,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.65147,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",100.059,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.3354,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.5787,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.733,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.752,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.7893,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.8045,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.6911,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.5464,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.4997,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.5261,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.4936,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.4671,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4553,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.4974,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.5996,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.6483,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.7584,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.8792,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.9247,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.9833,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",101.0168,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",101.0273,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",101.0538,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.981,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.769,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.5103,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.3117,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2674,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3269,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.4443,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.474,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.5791,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.8264,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.0805,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",101.2233,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.3048,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.371,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.4721,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.5061,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.4637,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.379,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.4322,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.5683,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.6393,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.629,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.6267,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.5969,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.6079,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.5899,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.5654,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.5466,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.4999,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.4397,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.4301,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.435,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.342,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.1836,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.9292,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.644,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.322,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.0212,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.88519,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.79758,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.78849,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.82165,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.86356,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",99.86544,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.82642,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.80672,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",99.84649,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",99.8953,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",99.9377,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.92934,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.78467,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.25005,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2012-12",99.503,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-01",99.74736,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-02",99.97393,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-03",100.136,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-04",100.2384,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-05",100.2786,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-06",100.2483,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-07",100.1963,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-08",100.1825,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-09",100.2523,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2013-10",100.3736,
