;KPIF (%);KPI (%);
jan-13;1,0;0,0;
feb-13;0,9;-0,2;
mar-13;0,9;0,0;
apr-13;0,5;-0,5;
maj-13;0,7;-0,2;
jun-13;0,9;-0,1;
jul-13;1,2;0,1;
aug-13;1,2;0,1;
sep-13;0,9;0,1;
okt-13;0,6;-0,1;
nov-13;0,7;0,1;
dec-13;0,8;0,1;
jan-14;0,4;-0,2;
feb-14;0,4;-0,2;
mar-14;0,0;-0,6;
apr-14;0,5;0,0;
maj-14;0,4;-0,2;
jun-14;0,8;0,2;
jul-14;0,6;0,0;
aug-14;0,5;-0,2;
sep-14;0,3;-0,4;
okt-14;0,6;-0,1;
nov-14;0,6;-0,2;
dec-14;0,5;-0,3;
jan-15;0,6;-0,2;
feb-15;0,9;0,1;
mar-15;0,9;0,2;
apr-15;0,7;-0,2;
maj-15;1,0;0,1;
jun-15;0,6;-0,4;
jul-15;0,9;-0,1;
aug-15;0,8;-0,2;
sep-15;1,0;0,1;
okt-15;1,1;0,1;
nov-15;1,0;0,1;
dec-15;0,9;0,1;
jan-16;1,6;0,8;
feb-16;1,1;0,4;
mar-16;1,5;0,8;
apr-16;1,4;0,8;
maj-16;1,1;0,6;
jun-16;1,5;1,0;
jul-16;1,4;1,1;
aug-16;1,4;1,1;
sep-16;1,2;0,9;
okt-16;1,4;1,2;
nov-16;1,6;1,4;
dec-16;1,9;1,7;
jan-17;1,6;1,4;
feb-17;2,0;1,8;
mar-17;1,5;1,3;
apr-17;2,0;1,9;
maj-17;1,9;1,7;
jun-17;1,9;1,7;
jul-17;2,4;2,2;
aug-17;2,3;2,1;
sep-17;2,3;2,1;
okt-17;1,8;1,7;
nov-17;2,0;1,9;
dec-17;1,9;1,7;
jan-18;1,7;1,6;
feb-18;1,7;1,6;
mar-18;2,0;1,9;
apr-18;1,9;1,7;
maj-18;2,1;1,9;
jun-18;2,2;2,1;
jul-18;2,2;2,1;
aug-18;2,2;2,0;
sep-18;2,5;2,3;
okt-18;2,4;2,3;
nov-18;2,1;2,0;
dec-18;2,2;2,0;
jan-19;2,0;1,9;
feb-19;1,9;1,9;
mar-19;1,8;1,9;
apr-19;2,0;2,1;
maj-19;2,1;2,2;
jun-19;1,7;1,8;
jul-19;1,5;1,7;
aug-19;1,3;1,4;
sep-19;1,3;1,5;
okt-19;1,5;1,6;
nov-19;1,7;1,8;
dec-19;1,7;1,8;
jan-20;1,2;1,3;
feb-20;1,0;1,0;
mar-20;0,6;0,6;
apr-20;-0,4;-0,4;
maj-20;0,0;0,0;
jun-20;0,7;0,7;
jul-20;0,5;0,5;
aug-20;0,7;0,8;
sep-20;0,3;0,4;
okt-20;0,3;0,3;
nov-20;0,2;0,2;
dec-20;0,5;0,5;
