,Stängn.kurs
2013-01-01,343.94
2013-01-02,351.52
2013-01-03,351.74
2013-01-04,353.48
2013-01-05,353.48
2013-01-06,353.48
2013-01-07,351.79
2013-01-08,350.58
2013-01-09,351.12
2013-01-10,351.01
2013-01-11,352.45
2013-01-12,352.45
2013-01-13,352.45
2013-01-14,352.72
2013-01-15,351.55
2013-01-16,352.53
2013-01-17,354.42
2013-01-18,354.44
2013-01-19,354.44
2013-01-20,354.44
2013-01-21,356.76
2013-01-22,355.72
2013-01-23,356.32
2013-01-24,358.08
2013-01-25,361.07
2013-01-26,361.07
2013-01-27,361.07
2013-01-28,361.7
2013-01-29,361.92
2013-01-30,364.82
2013-01-31,363.1
2013-02-01,365.68
2013-02-02,365.68
2013-02-03,365.68
2013-02-04,361.23
2013-02-05,364.94
2013-02-06,365.2
2013-02-07,363.02
2013-02-08,365.87
2013-02-09,365.87
2013-02-10,365.87
2013-02-11,365.18
2013-02-12,366.66
2013-02-13,370.08
2013-02-14,369.14
2013-02-15,370.13
2013-02-16,370.13
2013-02-17,370.13
2013-02-18,370.89
2013-02-19,373.54
2013-02-20,375.55
2013-02-21,371.68
2013-02-22,375.85
2013-02-23,375.85
2013-02-24,375.85
2013-02-25,374.63
2013-02-26,369.39
2013-02-27,373.58
2013-02-28,375.32
2013-03-01,374.68
2013-03-02,374.68
2013-03-03,374.68
2013-03-04,375.45
2013-03-05,379.08
2013-03-06,377.24
2013-03-07,377.39
2013-03-08,379.47
2013-03-09,379.47
2013-03-10,379.47
2013-03-11,380.18
2013-03-12,377.15
2013-03-13,377.62
2013-03-14,381.11
2013-03-15,379.88
2013-03-16,379.88
2013-03-17,379.88
2013-03-18,377.53
2013-03-19,373.08
2013-03-20,375.01
2013-03-21,370.99
2013-03-22,373.13
2013-03-23,373.13
2013-03-24,373.13
2013-03-25,372.99
2013-03-26,372.94
2013-03-27,372.87
2013-03-28,375.35
2013-03-29,375.35
2013-03-30,375.35
2013-03-31,375.35
2013-04-01,375.35
2013-04-02,377.86
2013-04-03,376.04
2013-04-04,370.4
2013-04-05,365.71
2013-04-06,365.71
2013-04-07,365.71
2013-04-08,364.9
2013-04-09,367.73
2013-04-10,372.64
2013-04-11,373.36
2013-04-12,370.57
2013-04-13,370.57
2013-04-14,370.57
2013-04-15,367.84
2013-04-16,364.57
2013-04-17,358.51
2013-04-18,358.11
2013-04-19,357.9
2013-04-20,357.9
2013-04-21,357.9
2013-04-22,357.5
2013-04-23,366.29
2013-04-24,367.77
2013-04-25,373.05
2013-04-26,373.03
2013-04-27,373.03
2013-04-28,373.03
2013-04-29,374.34
2013-04-30,375.46
2013-05-01,375.46
2013-05-02,373.99
2013-05-03,376.64
2013-05-04,376.64
2013-05-05,376.64
2013-05-06,377.43
2013-05-07,378.4
2013-05-08,382.28
2013-05-09,382.28
2013-05-10,383.96
2013-05-11,383.96
2013-05-12,383.96
2013-05-13,383.71
2013-05-14,384.09
2013-05-15,385.79
2013-05-16,386.9
2013-05-17,389.45
2013-05-18,389.45
2013-05-19,389.45
2013-05-20,389.25
2013-05-21,390.55
2013-05-22,392.3
2013-05-23,383.16
