,Open
2013-01-01,90.41
2013-01-02,91.78
2013-01-03,92.91
2013-01-04,92.86
2013-01-05,92.86
2013-01-06,92.86
2013-01-07,93.21
2013-01-08,93.32
2013-01-09,93.15
2013-01-10,93.19
2013-01-11,93.87
2013-01-12,93.87
2013-01-13,93.87
2013-01-14,93.74
2013-01-15,94.2
2013-01-16,93.4
2013-01-17,94.19
2013-01-18,95.19
2013-01-19,95.19
2013-01-20,95.19
2013-01-21,95.19
2013-01-22,95.25
2013-01-23,95.25
2013-01-24,95.5
2013-01-25,95.95
2013-01-26,95.95
2013-01-27,95.95
2013-01-28,96.04
2013-01-29,96.46
2013-01-30,97.32
2013-01-31,97.96
2013-02-01,97.42
2013-02-02,97.42
2013-02-03,97.42
2013-02-04,97.72
2013-02-05,96.13
2013-02-06,96.64
2013-02-07,96.86
2013-02-08,95.92
2013-02-09,95.92
2013-02-10,95.92
2013-02-11,95.79
2013-02-12,96.96
2013-02-13,97.59
2013-02-14,97.17
2013-02-15,97.34
2013-02-16,97.34
2013-02-17,97.34
2013-02-18,97.34
2013-02-19,95.97
2013-02-20,96.66
2013-02-21,96.66
2013-02-22,92.96
2013-02-23,92.96
2013-02-24,92.96
2013-02-25,93.23
2013-02-26,91.92
2013-02-27,92.72
2013-02-28,92.89
2013-03-01,91.76
2013-03-02,91.76
2013-03-03,91.76
2013-03-04,90.71
2013-03-05,90.23
2013-03-06,90.83
2013-03-07,90.42
2013-03-08,91.42
2013-03-09,91.42
2013-03-10,91.42
2013-03-11,91.83
2013-03-12,91.94
2013-03-13,92.62
2013-03-14,92.51
2013-03-15,93.15
2013-03-16,93.15
2013-03-17,93.15
2013-03-18,93.26
2013-03-19,93.8
2013-03-20,92.09
2013-03-21,92.09
2013-03-22,92.33
2013-03-23,92.33
2013-03-24,92.33
2013-03-25,93.72
2013-03-26,94.75
2013-03-27,96.18
2013-03-28,96.68
2013-03-29,96.68
2013-03-30,96.68
2013-03-31,96.68
2013-04-01,96.68
2013-04-02,97.0
2013-04-03,96.93
2013-04-04,94.5
2013-04-05,93.36
2013-04-06,93.36
2013-04-07,93.36
2013-04-08,93.02
2013-04-09,93.49
2013-04-10,93.96
2013-04-11,94.56
2013-04-12,93.49
2013-04-13,93.49
2013-04-14,93.49
2013-04-15,90.95
2013-04-16,87.42
2013-04-17,88.8
2013-04-18,86.39
2013-04-19,88.37
2013-04-20,88.37
2013-04-21,88.37
2013-04-22,87.96
2013-04-23,87.96
2013-04-24,89.6
2013-04-25,91.58
2013-04-26,93.24
2013-04-27,93.24
2013-04-28,93.24
2013-04-29,92.7
2013-04-30,94.42
2013-05-01,93.08
2013-05-02,91.0
2013-05-03,93.99
2013-05-04,93.99
2013-05-05,93.99
2013-05-06,95.58
2013-05-07,95.79
2013-05-08,95.56
2013-05-09,96.6
2013-05-10,96.16
2013-05-11,96.16
2013-05-12,96.16
2013-05-13,95.76
2013-05-14,94.93
2013-05-15,94.13
2013-05-16,94.34
2013-05-17,95.15
2013-05-18,95.15
2013-05-19,95.15
2013-05-20,95.93
2013-05-21,96.7
2013-05-22,96.7
2013-05-23,94.18
2013-05-24,94.37
2013-05-25,94.37
2013-05-26,94.37
2013-05-27,94.37
2013-05-28,93.89
2013-05-29,95.05
2013-05-30,92.89
2013-05-31,93.64
2013-06-01,93.64
2013-06-02,93.64
2013-06-03,91.73
2013-06-04,93.35
2013-06-05,93.86
2013-06-06,93.7
2013-06-07,94.72
2013-06-08,94.72
2013-06-09,94.72
2013-06-10,96.09
2013-06-11,95.76
2013-06-12,94.89
2013-06-13,95.77
2013-06-14,96.64
2013-06-15,96.64
2013-06-16,96.64
2013-06-17,97.85
2013-06-18,97.93
2013-06-19,98.59
2013-06-20,98.02
2013-06-21,98.02
2013-06-22,98.02
2013-06-23,98.02
2013-06-24,93.85
2013-06-25,95.02
2013-06-26,95.17
2013-06-27,95.52
2013-06-28,96.81
2013-06-29,96.81
2013-06-30,96.81
2013-07-01,96.58
2013-07-02,98.06
2013-07-03,99.61
2013-07-04,99.61
2013-07-05,101.09
2013-07-06,101.09
2013-07-07,101.09
2013-07-08,103.95
2013-07-09,103.0
2013-07-10,104.57
2013-07-11,106.15
2013-07-12,104.58
2013-07-13,104.58
2013-07-14,104.58
2013-07-15,106.05
2013-07-16,106.44
2013-07-17,105.78
2013-07-18,106.56
2013-07-19,108.12
2013-07-20,108.12
2013-07-21,108.12
2013-07-22,108.34
2013-07-23,108.34
2013-07-24,107.36
2013-07-25,105.37
2013-07-26,105.56
2013-07-27,105.56
2013-07-28,105.56
2013-07-29,104.61
2013-07-30,104.52
2013-07-31,103.15
2013-08-01,105.26
2013-08-02,107.8
2013-08-03,107.8
2013-08-04,107.8
2013-08-05,106.84
2013-08-06,106.48
2013-08-07,105.68
2013-08-08,104.18
2013-08-09,103.87
2013-08-10,103.87
2013-08-11,103.87
2013-08-12,105.84
2013-08-13,106.15
2013-08-14,106.54
2013-08-15,106.98
2013-08-16,107.18
2013-08-17,107.18
2013-08-18,107.18
2013-08-19,107.78
2013-08-20,106.93
2013-08-21,106.93
2013-08-22,103.86
2013-08-23,105.22
2013-08-24,105.22
2013-08-25,105.22
2013-08-26,106.91
2013-08-27,106.14
2013-08-28,109.22
2013-08-29,109.53
2013-08-30,108.17
2013-08-31,108.17
2013-09-01,108.17
2013-09-02,108.17
2013-09-03,107.07
2013-09-04,108.44
2013-09-05,107.59
2013-09-06,108.52
2013-09-07,108.52
2013-09-08,108.52
2013-09-09,110.28
2013-09-10,108.92
2013-09-11,107.36
2013-09-12,107.77
2013-09-13,108.64
2013-09-14,108.64
2013-09-15,108.64
2013-09-16,107.5
2013-09-17,106.22
2013-09-18,105.53
2013-09-19,108.22
2013-09-20,106.37
2013-09-21,106.37
2013-09-22,106.37
2013-09-23,104.89
2013-09-24,103.44
2013-09-25,103.41
2013-09-26,102.3
2013-09-27,102.91
2013-09-28,102.91
2013-09-29,102.91
2013-09-30,102.46
2013-10-01,102.31
2013-10-02,101.62
2013-10-03,103.82
2013-10-04,102.92
2013-10-05,102.92
2013-10-06,102.92
2013-10-07,103.45
2013-10-08,103.16
2013-10-09,103.49
2013-10-10,101.46
2013-10-11,102.94
2013-10-12,102.94
2013-10-13,102.94
2013-10-14,101.37
2013-10-15,102.19
2013-10-16,100.88
2013-10-17,102.13
2013-10-18,100.72
2013-10-19,100.72
2013-10-20,100.72
2013-10-21,100.63
2013-10-22,99.06
2013-10-23,99.06
2013-10-24,97.1
2013-10-25,97.19
2013-10-26,97.19
2013-10-27,97.19
2013-10-28,97.88
2013-10-29,98.54
2013-10-30,97.77
2013-10-31,96.62
2013-11-01,96.32
2013-11-02,96.32
2013-11-03,96.32
2013-11-04,94.52
2013-11-05,94.47
2013-11-06,93.74
2013-11-07,94.91
2013-11-08,94.36
2013-11-09,94.36
2013-11-10,94.36
2013-11-11,94.45
2013-11-12,95.0
2013-11-13,93.07
2013-11-14,93.5
2013-11-15,93.89
2013-11-16,93.89
2013-11-17,93.89
2013-11-18,93.78
2013-11-19,93.0
2013-11-20,93.33
2013-11-21,93.33
2013-11-22,95.29
