Date,Open
2014-09-22,92.22
2014-09-23,90.7
2014-09-24,91.72
2014-09-25,92.89
2014-09-26,92.47
2014-09-29,93.35
2014-09-30,94.34
2014-10-01,91.36
2014-10-02,90.74
2014-10-03,91.38
2014-10-06,89.77
2014-10-07,90.45
2014-10-08,88.43
2014-10-09,87.73
2014-10-10,84.39
2014-10-13,85.2
2014-10-14,84.98
2014-10-15,82.32
2014-10-16,81.06
2014-10-17,83.18
2014-10-20,83.13
2014-10-21,82.76
2014-10-22,82.55
2014-10-23,80.42
2014-10-24,81.95
2014-10-27,81.27
2014-10-28,80.64
2014-10-29,81.55
2014-10-30,81.93
2014-10-31,81.04
2014-11-03,80.59
2014-11-04,78.22
2014-11-05,77.36
2014-11-06,78.87
2014-11-07,77.86
2014-11-10,78.5
2014-11-11,77.18
2014-11-12,77.5
2014-11-13,76.95
2014-11-14,74.36
2014-11-17,75.93
2014-11-18,75.49
2014-11-19,74.23
2014-11-20,74.25
2014-11-21,76.29
2014-11-24,76.62
2014-11-25,75.51
2014-11-26,73.87
2014-11-28,73.5
2014-12-01,66.0
2014-12-02,69.24
2014-12-03,67.6
2014-12-04,67.4
2014-12-05,66.8
2014-12-08,65.46
2014-12-09,63.01
2014-12-10,63.33
2014-12-11,61.12
2014-12-12,59.17
2014-12-15,57.07
2014-12-16,55.4
2014-12-17,55.5
2014-12-18,55.83
2014-12-19,55.5
2014-12-22,57.75
2014-12-23,55.39
2014-12-24,56.8
2014-12-26,55.86
2014-12-29,55.05
2014-12-30,53.72
2014-12-31,53.87
2015-01-02,53.76
2015-01-05,52.61
2015-01-06,50.0
2015-01-07,48.0
2015-01-08,48.78
2015-01-09,48.92
2015-01-12,48.19
2015-01-13,45.69
2015-01-14,46.16
2015-01-15,48.6
2015-01-16,46.35
2015-01-20,48.69
2015-01-21,0.0
2015-01-22,47.35
2015-01-23,46.63
2015-01-26,45.2
2015-01-27,45.13
2015-01-28,45.83
2015-01-29,44.43
2015-01-30,44.63
2015-02-02,47.59
2015-02-03,49.79
2015-02-04,51.67
2015-02-05,48.67
2015-02-06,50.86
2015-02-09,52.01
2015-02-10,52.43
2015-02-11,50.98
2015-02-12,49.42
2015-02-13,51.35
2015-02-17,52.75
2015-02-18,53.24
2015-02-19,50.55
2015-02-20,51.24
2015-02-23,50.75
2015-02-24,49.42
2015-02-25,49.16
2015-02-26,51.0
2015-02-27,48.97
2015-03-02,49.45
2015-03-03,49.8
2015-03-04,50.61
2015-03-05,51.62
2015-03-06,50.89
2015-03-09,49.6
2015-03-10,50.08
2015-03-11,48.77
2015-03-12,48.44
2015-03-13,46.93
2015-03-16,44.81
2015-03-17,43.84
2015-03-18,42.51
2015-03-19,44.6
2015-03-20,43.99
2015-03-23,46.41
2015-03-24,47.46
2015-03-25,47.72
2015-03-26,49.02
2015-03-27,51.01
2015-03-30,48.57
2015-03-31,48.73
2015-04-01,47.55
2015-04-02,49.59
2015-04-03,0.0
2015-04-06,49.47
2015-04-07,51.95
2015-04-08,53.18
2015-04-09,51.0
2015-04-10,50.73
2015-04-13,51.81
2015-04-14,52.05
2015-04-15,53.55
2015-04-16,55.92
2015-04-17,56.56
2015-04-20,56.16
2015-04-21,56.41
2015-04-22,0.0
2015-04-23,56.28
2015-04-24,57.53
2015-04-27,57.3
2015-04-28,56.65
2015-04-29,56.93
2015-04-30,58.55
2015-05-01,59.79
2015-05-04,59.3
2015-05-05,58.95
2015-05-06,60.72
2015-05-07,60.69
2015-05-08,59.02
2015-05-11,59.43
2015-05-12,59.22
2015-05-13,61.46
2015-05-14,60.1
2015-05-15,59.67
2015-05-18,59.85
2015-05-19,59.54
2015-05-20,0.0
2015-05-21,58.81
2015-05-22,60.66
2015-05-26,60.05
2015-05-27,58.32
2015-05-28,57.63
2015-05-29,57.97
2015-06-01,60.29
2015-06-02,60.18
2015-06-03,61.02
2015-06-04,59.57
2015-06-05,57.99
2015-06-08,58.96
2015-06-09,58.31
2015-06-10,60.58
2015-06-11,61.14
2015-06-12,60.55
2015-06-15,59.9
2015-06-16,59.6
2015-06-17,60.03
2015-06-18,59.78
2015-06-19,60.5
2015-06-22,59.44
2015-06-23,0.0
2015-06-24,61.14
2015-06-25,60.22
2015-06-26,59.66
2015-06-29,58.84
2015-06-30,58.27
2015-07-01,58.98
2015-07-02,56.87
2015-07-03,56.42
2015-07-06,54.9
2015-07-07,52.75
2015-07-08,52.91
2015-07-09,51.83
