, Open
2013-01-01,1402.43
2013-01-02,1426.19
2013-01-03,1462.42
2013-01-04,1459.37
2013-01-05,1459.37
2013-01-06,1459.37
2013-01-07,1466.47
2013-01-08,1461.89
2013-01-09,1457.15
2013-01-10,1461.02
2013-01-11,1472.12
2013-01-12,1472.12
2013-01-13,1472.12
2013-01-14,1472.05
2013-01-15,1470.67
2013-01-16,1472.33
2013-01-17,1472.63
2013-01-18,1480.95
2013-01-19,1480.95
2013-01-20,1480.95
2013-01-21,1480.95
2013-01-22,1485.98
2013-01-23,1492.56
2013-01-24,1494.81
2013-01-25,1494.82
2013-01-26,1494.82
2013-01-27,1494.82
2013-01-28,1502.96
2013-01-29,1500.18
2013-01-30,1507.84
2013-01-31,1501.96
2013-02-01,1498.11
2013-02-02,1498.11
2013-02-03,1498.11
2013-02-04,1513.17
2013-02-05,1495.71
2013-02-06,1511.29
2013-02-07,1512.12
2013-02-08,1509.39
2013-02-09,1509.39
2013-02-10,1509.39
2013-02-11,1517.93
2013-02-12,1517.01
2013-02-13,1519.43
2013-02-14,1520.33
2013-02-15,1521.38
2013-02-16,1521.38
2013-02-17,1521.38
2013-02-18,1521.38
2013-02-19,1519.79
2013-02-20,1530.94
2013-02-21,1511.95
2013-02-22,1502.42
2013-02-23,1502.42
2013-02-24,1502.42
2013-02-25,1515.6
2013-02-26,1487.85
2013-02-27,1496.94
2013-02-28,1515.99
2013-03-01,1514.68
2013-03-02,1514.68
2013-03-03,1514.68
2013-03-04,1518.2
2013-03-05,1525.2
2013-03-06,1539.79
2013-03-07,1541.46
2013-03-08,1544.26
2013-03-09,1544.26
2013-03-10,1544.26
2013-03-11,1551.15
2013-03-12,1556.22
2013-03-13,1552.48
2013-03-14,1554.52
2013-03-15,1563.21
2013-03-16,1563.21
2013-03-17,1563.21
2013-03-18,1560.7
2013-03-19,1552.1
2013-03-20,1548.34
2013-03-21,1558.71
2013-03-22,1545.9
2013-03-23,1545.9
2013-03-24,1545.9
2013-03-25,1556.89
2013-03-26,1551.69
2013-03-27,1563.75
2013-03-28,1562.86
2013-03-29,1562.86
2013-03-30,1562.86
2013-03-31,1562.86
2013-04-01,1569.18
2013-04-02,1562.17
2013-04-03,1570.25
2013-04-04,1553.69
2013-04-05,1559.98
2013-04-06,1559.98
2013-04-07,1559.98
2013-04-08,1553.26
2013-04-09,1563.11
2013-04-10,1568.61
2013-04-11,1587.73
