,Öppen
2013-01-01,1339.39
2013-01-02,1338.72
2013-01-03,1365.85
2013-01-04,1361.40
2013-01-05,1361.40
2013-01-06,1361.40
2013-01-07,1370.93
2013-01-08,1368.33
2013-01-09,1363.13
2013-01-10,1367.23
2013-01-11,1379.24
2013-01-12,1379.24
2013-01-13,1379.24
2013-01-14,1381.49
2013-01-15,1379.97
2013-01-16,1381.26
2013-01-17,1378.77
2013-01-18,1386.00
2013-01-19,1386.00
2013-01-20,1386.00
2013-01-21,1388.29
2013-01-22,1389.71
2013-01-23,1393.94
2013-01-24,1393.16
2013-01-25,1395.83
2013-01-26,1395.83
2013-01-27,1395.83
2013-01-28,1404.97
2013-01-29,1402.96
2013-01-30,1411.09
2013-01-31,1409.50
2013-02-01,1405.27
2013-02-02,1405.27
2013-02-03,1405.27
2013-02-04,1415.34
2013-02-05,1399.69
2013-02-06,1406.14
2013-02-07,1408.14
2013-02-08,1401.32
2013-02-09,1401.32
2013-02-10,1401.32
2013-02-11,1409.86
2013-02-12,1404.87
2013-02-13,1413.54
2013-02-14,1414.52
2013-02-15,1411.77
2013-02-16,1411.77
2013-02-17,1411.77
2013-02-18,1406.40
2013-02-19,1408.46
2013-02-20,1420.17
2013-02-21,1407.32
2013-02-22,1391.61
2013-02-23,1391.61
2013-02-24,1391.61
2013-02-25,1399.91
2013-02-26,1390.51
2013-02-27,1385.95
2013-02-28,1399.70
2013-03-01,1403.52
2013-03-02,1403.52
2013-03-03,1403.52
2013-03-04,1402.42
2013-03-05,1406.24
2013-03-06,1420.85
2013-03-07,1420.28
2013-03-08,1424.81
2013-03-09,1424.81
2013-03-10,1424.81
2013-03-11,1428.41
2013-03-12,1434.83
2013-03-13,1433.59
2013-03-14,1429.67
2013-03-15,1441.45
2013-03-16,1441.45
2013-03-17,1441.45
2013-03-18,1441.09
2013-03-19,1429.89
2013-03-20,1425.42
2013-03-21,1432.98
2013-03-22,1426.01
2013-03-23,1426.01
2013-03-24,1426.01
2013-03-25,1431.65
2013-03-26,1426.41
2013-03-27,1432.42
2013-03-28,1429.13
2013-03-29,1434.24
2013-03-30,1434.24
