Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2020-02-19;1901,13;1880,69;1900,28;;1;;
2020-02-18;1888,98;1869,27;1878,79;;1;;
2020-02-17;1897,93;1885,42;1888,35;;1;;
2020-02-14;1892,15;1881,35;1885,62;;1;;
2020-02-13;1887,25;1864,05;1883,02;;1;;
2020-02-12;1893,27;1879,13;1889,75;;1;;
2020-02-11;1885,50;1859,24;1884,13;;1;;
2020-02-10;1860,70;1843,47;1858,00;;1;;
2020-02-07;1856,34;1841,59;1849,86;;1;;
2020-02-06;1864,32;1843,86;1851,95;;1;;
2020-02-05;1854,10;1815,32;1847,35;;1;;
2020-02-04;1821,04;1785,41;1821,04;;1;;
2020-02-03;1791,59;1774,18;1782,91;;1;;
2020-01-31;1806,55;1778,08;1783,26;;1;;
2020-01-30;1805,62;1771,15;1787,96;;1;;
2020-01-29;1798,52;1784,15;1791,67;;1;;
2020-01-28;1791,50;1763,45;1786,35;;1;;
2020-01-27;1808,02;1766,71;1771,48;;1;;
2020-01-24;1820,75;1798,29;1812,85;;1;;
2020-01-23;1809,72;1790,97;1795,43;;1;;
2020-01-22;1834,10;1810,72;1811,76;;1;;
2020-01-21;1826,62;1800,60;1825,62;;1;;
2020-01-20;1829,68;1819,80;1821,29;;1;;
2020-01-17;1831,52;1813,24;1825,94;;1;;
2020-01-16;1812,30;1787,30;1812,30;;1;;
2020-01-15;1794,08;1780,88;1787,29;;1;;
2020-01-14;1794,02;1772,69;1792,90;;1;;
2020-01-13;1798,06;1781,32;1790,51;;1;;
2020-01-10;1800,16;1784,28;1784,97;;1;;
2020-01-09;1811,22;1793,74;1796,73;;1;;
2020-01-08;1796,79;1774,36;1795,41;;1;;
2020-01-07;1805,65;1784,86;1796,85;;1;;
2020-01-03;1806,41;1778,53;1785,23;;1;;
2020-01-02;1810,20;1771,85;1808,63;;1;;
2019-12-30;1798,29;1769,19;1771,85;;1;;
2019-12-27;1802,23;1792,17;1798,04;;1;;
2019-12-23;1800,69;1791,09;1795,66;;1;;
2019-12-20;1795,43;1783,08;1794,80;;1;;
2019-12-19;1793,19;1779,69;1783,29;;1;;
2019-12-18;1796,08;1782,82;1787,96;;1;;
2019-12-17;1791,93;1781,84;1791,93;;1;;
2019-12-16;1787,89;1767,93;1787,66;;1;;
2019-12-13;1780,69;1761,66;1770,12;;1;;
2019-12-12;1760,87;1732,23;1758,24;;1;;
2019-12-11;1744,25;1723,75;1741,62;;1;;
2019-12-10;1742,77;1714,48;1735,51;;1;;
2019-12-09;1750,58;1738,83;1743,31;;1;;
2019-12-06;1743,03;1723,70;1742,61;;1;;
2019-12-05;1735,86;1720,14;1723,63;;1;;
2019-12-04;1726,86;1697,73;1725,60;;1;;
