,Stängn.kurs
2013-01-01,1104.73
2013-01-02,1129.96
2013-01-03,1130.4
2013-01-04,1136.77
2013-01-05,1136.77
2013-01-06,1136.77
2013-01-07,1130.13
2013-01-08,1125.39
2013-01-09,1127.67
2013-01-10,1126.87
2013-01-11,1132.28
2013-01-12,1132.28
2013-01-13,1132.28
2013-01-14,1132.84
2013-01-15,1127.51
2013-01-16,1130.62
2013-01-17,1136.2
2013-01-18,1135.02
2013-01-19,1135.02
2013-01-20,1135.02
2013-01-21,1143.09
2013-01-22,1139.15
2013-01-23,1140.82
2013-01-24,1146.93
2013-01-25,1158.5
2013-01-26,1158.5
2013-01-27,1158.5
2013-01-28,1160.25
2013-01-29,1161.97
2013-01-30,1173.38
2013-01-31,1169.17
2013-02-01,1176.11
2013-02-02,1176.11
2013-02-03,1176.11
2013-02-04,1161.19
2013-02-05,1175.54
2013-02-06,1174.79
2013-02-07,1165.71
2013-02-08,1175.05
2013-02-09,1175.05
2013-02-10,1175.05
2013-02-11,1171.01
2013-02-12,1175.98
2013-02-13,1185.46
2013-02-14,1182.91
2013-02-15,1183.43
2013-02-16,1183.43
2013-02-17,1183.43
2013-02-18,1185.98
2013-02-19,1193.77
2013-02-20,1200.54
2013-02-21,1188.95
2013-02-22,1205.1
2013-02-23,1205.1
2013-02-24,1205.1
2013-02-25,1199.44
2013-02-26,1180.9
2013-02-27,1194.07
2013-02-28,1199.4
2013-03-01,1199.21
2013-03-02,1199.21
2013-03-03,1199.21
2013-03-04,1203.47
2013-03-05,1217.41
2013-03-06,1208.39
2013-03-07,1208.09
2013-03-08,1215.14
2013-03-09,1215.14
2013-03-10,1215.14
2013-03-11,1218.08
2013-03-12,1208.52
2013-03-13,1210.89
2013-03-14,1221.85
2013-03-15,1217.35
2013-03-16,1217.35
2013-03-17,1217.35
2013-03-18,1209.67
2013-03-19,1195.98
2013-03-20,1203.1
2013-03-21,1187.72
2013-03-22,1196.43
2013-03-23,1196.43
2013-03-24,1196.43
2013-03-25,1195.58
2013-03-26,1194.99
2013-03-27,1194.49
2013-03-28,1201.19
2013-03-29,1201.19
2013-03-30,1201.19
2013-03-31,1201.19
2013-04-01,1201.19
2013-04-02,1210.08
2013-04-03,1203.38
2013-04-04,1183.01
2013-04-05,1168.79
2013-04-06,1168.79
2013-04-07,1168.79
2013-04-08,1164.85
2013-04-09,1175.62
2013-04-10,1193.66
2013-04-11,1195.53
2013-04-12,1185.33
2013-04-13,1185.33
2013-04-14,1185.33
2013-04-15,1177.61
2013-04-16,1167.48
2013-04-17,1147.48
2013-04-18,1146.65
2013-04-19,1147.31
2013-04-20,1147.31
2013-04-21,1147.31
2013-04-22,1143.3
2013-04-23,1172.79
2013-04-24,1176.91
2013-04-25,1194.86
2013-04-26,1194.66
2013-04-27,1194.66
2013-04-28,1194.66
2013-04-29,1198.11
2013-04-30,1198.99
2013-05-01,1198.99
2013-05-02,1194.42
2013-05-03,1203.34
2013-05-04,1203.34
2013-05-05,1203.34
2013-05-06,1205.17
2013-05-07,1208.1
2013-05-08,1221.83
2013-05-09,1221.83
2013-05-10,1227.31
2013-05-11,1227.31
2013-05-12,1227.31
2013-05-13,1223.89
2013-05-14,1224.85
2013-05-15,1230.12
2013-05-16,1235.0
2013-05-17,1244.25
2013-05-18,1244.25
2013-05-19,1244.25
2013-05-20,1243.37
2013-05-21,1248.14
2013-05-22,1254.57
2013-05-23,1224.45
2013-05-24,1217.06
2013-05-25,1217.06
2013-05-26,1217.06
2013-05-27,1231.68
2013-05-28,1244.04
2013-05-29,1222.37
2013-05-30,1225.18
2013-05-31,1214.77
2013-06-01,1214.77
2013-06-02,1214.77
2013-06-03,1209.71
2013-06-04,1207.56
2013-06-05,1185.04
2013-06-06,1185.04
2013-06-07,1192.98
2013-06-08,1192.98
2013-06-09,1192.98
2013-06-10,1192.86
2013-06-11,1184.62
2013-06-12,1177.26
2013-06-13,1173.57
2013-06-14,1177.59
2013-06-15,1177.59
2013-06-16,1177.59
2013-06-17,1191.39
2013-06-18,1193.95
2013-06-19,1174.84
2013-06-20,1138.6
2013-06-21,1138.6
2013-06-22,1138.6
2013-06-23,1138.6
2013-06-24,1112.14
2013-06-25,1129.25
2013-06-26,1144.78
2013-06-27,1161.0
2013-06-28,1151.0
2013-06-29,1151.0
2013-06-30,1151.0
2013-07-01,1165.64
2013-07-02,1161.38
2013-07-03,1154.54
2013-07-04,1175.22
2013-07-05,1167.52
2013-07-06,1167.52
2013-07-07,1167.52
2013-07-08,1182.64
2013-07-09,1194.75
2013-07-10,1195.31
2013-07-11,1211.37
2013-07-12,1210.73
2013-07-13,1210.73
2013-07-14,1210.73
2013-07-15,1215.23
2013-07-16,1212.62
2013-07-17,1211.1
2013-07-18,1217.57
2013-07-19,1221.21
2013-07-20,1221.21
2013-07-21,1221.21
2013-07-22,1213.38
2013-07-23,1216.68
2013-07-24,1230.34
2013-07-25,1232.95
2013-07-26,1227.86
2013-07-27,1227.86
2013-07-28,1227.86
2013-07-29,1226.98
2013-07-30,1236.86
2013-07-31,1234.07
2013-08-01,1248.38
2013-08-02,1250.54
2013-08-03,1250.54
2013-08-04,1250.54
2013-08-05,1251.77
2013-08-06,1242.12
2013-08-07,1240.41
2013-08-08,1249.22
