Date,Open
2012-12-28,91.15
2012-12-31,90.41
2013-01-02,91.78
2013-01-03,92.91
2013-01-04,92.86
2013-01-07,93.21
2013-01-08,93.32
2013-01-09,93.15
2013-01-10,93.19
2013-01-11,93.87
2013-01-14,93.74
2013-01-15,94.2
2013-01-16,93.4
2013-01-17,94.19
2013-01-18,95.19
2013-01-22,95.25
2013-01-23,0.0
2013-01-24,95.5
2013-01-25,95.95
2013-01-28,96.04
2013-01-29,96.46
2013-01-30,97.32
2013-01-31,97.96
2013-02-01,97.42
2013-02-04,97.72
2013-02-05,96.13
2013-02-06,96.64
2013-02-07,96.86
2013-02-08,95.92
2013-02-11,95.79
2013-02-12,96.96
2013-02-13,97.59
2013-02-14,97.17
2013-02-15,97.34
2013-02-19,95.97
2013-02-20,96.66
2013-02-21,0.0
2013-02-22,92.96
2013-02-25,93.23
2013-02-26,91.92
2013-02-27,92.72
2013-02-28,92.89
2013-03-01,91.76
2013-03-04,90.71
2013-03-05,90.23
2013-03-06,90.83
2013-03-07,90.42
2013-03-08,91.42
2013-03-11,91.83
2013-03-12,91.94
2013-03-13,92.62
2013-03-14,92.51
2013-03-15,93.15
2013-03-18,93.26
2013-03-19,93.8
2013-03-20,92.09
2013-03-21,0.0
2013-03-22,92.33
2013-03-25,93.72
2013-03-26,94.75
2013-03-27,96.18
2013-03-28,96.68
2013-04-01,0.0
2013-04-02,97.0
2013-04-03,96.93
2013-04-04,94.5
2013-04-05,93.36
2013-04-08,93.02
2013-04-09,93.49
2013-04-10,93.96
2013-04-11,94.56
2013-04-12,93.49
2013-04-15,90.95
2013-04-16,87.42
2013-04-17,88.8
2013-04-18,86.39
2013-04-19,88.37
2013-04-22,87.96
2013-04-23,0.0
2013-04-24,89.6
2013-04-25,91.58
2013-04-26,93.24
2013-04-29,92.7
2013-04-30,94.42
2013-05-01,93.08
2013-05-02,91.0
2013-05-03,93.99
2013-05-06,95.58
2013-05-07,95.79
2013-05-08,95.56
2013-05-09,96.6
2013-05-10,96.16
2013-05-13,95.76
2013-05-14,94.93
2013-05-15,94.13
2013-05-16,94.34
2013-05-17,95.15
2013-05-20,95.93
2013-05-21,96.7
2013-05-22,0.0
2013-05-23,94.18
2013-05-24,94.37
2013-05-28,93.89
2013-05-29,95.05
2013-05-30,92.89
2013-05-31,93.64
2013-06-03,91.73
2013-06-04,93.35
2013-06-05,93.86
2013-06-06,93.7
2013-06-07,94.72
2013-06-10,96.09
2013-06-11,95.76
2013-06-12,94.89
2013-06-13,95.77
2013-06-14,96.64
2013-06-17,97.85
2013-06-18,97.93
2013-06-19,98.59
2013-06-20,98.02
2013-06-21,0.0
2013-06-24,93.85
2013-06-25,95.02
2013-06-26,95.17
2013-06-27,95.52
2013-06-28,96.81
2013-07-01,96.58
2013-07-02,98.06
2013-07-03,99.61
2013-07-05,101.09
2013-07-08,103.95
2013-07-09,103.0
2013-07-10,104.57
2013-07-11,106.15
2013-07-12,104.58
2013-07-15,106.05
2013-07-16,106.44
2013-07-17,105.78
2013-07-18,106.56
2013-07-19,108.12
2013-07-22,108.34
2013-07-23,0.0
2013-07-24,107.36
2013-07-25,105.37
2013-07-26,105.56
2013-07-29,104.61
2013-07-30,104.52
2013-07-31,103.15
2013-08-01,105.26
2013-08-02,107.8
2013-08-05,106.84
2013-08-06,106.48
