Open,Close,High,Low,Volume,Dunno,Date
92.97,92.39,93.22,91.85,62,632.00,09/19/14
93.97,93.1,94.82,92.85,155,978.00,09/18/14
94.71,94.42,95.06,93.74,283,192.00,09/17/14
92.81,94.91,95.19,92.46,271,340.00,09/16/14
92.13,92.82,93.03,90.63,244,261.00,09/15/14
93.05,92.24,93.67,91.96,278,714.00,09/12/14
91.71,92.85,93.44,90.43,374,901.00,09/11/14
92.79,91.74,93.03,91.22,272,180.00,09/10/14
93.11,92.75,93.94,92.52,257,038.00,09/09/14
93.49,92.68,93.62,91.8,258,576.00,09/08/14
94.57,93.29,94.99,92.86,250,194.00,09/05/14
95.07,94.45,95.39,94.16,241,280.00,09/04/14
93.28,95.52,95.83,93.06,281,350.00,09/03/14
95.81,92.88,95.91,92.68,305,634.00,09/02/14
95.81,95.86,95.91,95.52,26,239.00,09/01/14
94.56,95.96,96,94.48,215,807.00,08/29/14
93.75,94.52,94.71,93.45,249,831.00,08/28/14
93.88,93.88,94.24,93.36,167,440.00,08/27/14
93.36,93.83,94.35,93.35,168,577.00,08/26/14
93.34,93.35,93.95,93.05,126,606.00,08/25/14
93.89,93.64,94.04,92.92,181,163.00,08/22/14
93.49,93.95,94.45,92.5,215,701.00,08/21/14
94.7,96.07,96.47,94.7,17,928.00,08/20/14
96.56,94.43,97.05,94.26,72,351.00,08/19/14
97.1,96.41,97.16,95.81,136,750.00,08/18/14
95.5,97.31,97.41,95.32,242,469.00,08/15/14
97.3,95.58,97.59,95.26,328,613.00,08/14/14
97.2,97.59,97.78,96.75,227,677.00,08/13/14
97.84,97.27,97.94,96.81,220,174.00,08/12/14
97.54,98.08,98.58,97.37,210,577.00,08/11/14
97.64,97.65,98.45,97.17,241,543.00,08/08/14
96.89,97.36,97.72,96.55,254,228.00,08/07/14
97.62,96.92,98.13,96.69,246,817.00,08/06/14
98.41,97.38,98.67,97,224,477.00,08/05/14
97.67,98.25,98.67,97.43,190,575.00,08/04/14
97.7,97.79,98.1,97.09,258,956.00,08/01/14
99.47,98.2,99.85,97.6,321,100.00,07/31/14
101.03,100.19,101.67,99.42,253,116.00,07/30/14
101.6,100.97,101.83,100.37,246,119.00,07/29/14
101.87,101.66,102.1,100.9,186,920.00,07/28/14
102.04,102.09,102.53,101,271,381.00,07/25/14
103.2,102.07,103.31,101.88,184,493.00,07/24/14
101.96,103.1,103.34,101.79,247,726.00,07/23/14
104.58,104.42,105.25,103.89,38,446.00,07/22/14
102.97,104.59,104.99,102.65,88,460.00,07/21/14
103.72,103.09,103.94,102.58,156,730.00,07/18/14
101.49,103.05,103.9,101.27,320,974.00,07/17/14
100.21,101.2,101.6,100.07,215,550.00,07/16/14
100.93,99.96,101.06,99.01,309,838.00,07/15/14
100.46,101.02,101.2,100.22,235,000.00,07/14/14
102.86,100.78,102.92,100.44,246,137.00,07/11/14
101.95,102.95,103,101.55,219,271.00,07/10/14
103.45,102.29,103.6,101.85,235,711.00,07/09/14
103.39,103.33,104.2,103.01,232,050.00,07/08/14
104.06,103.53,104.13,103.19,148,778.00,07/07/14
104.27,104.02,104.29,103.67,149,492.00,07/03/14
105.21,104.44,105.53,104.1,230,246.00,07/02/14
105.44,105.32,106.09,104.6,211,315.00,07/01/14
105.69,105.29,105.76,104.66,200,219.00,06/30/14
105.64,105.74,106.19,105.33,115,165.00,06/27/14
106.71,105.82,106.81,105.03,181,424.00,06/26/14
106.14,106.5,107.5,105.47,241,938.00,06/25/14
106.02,105.97,106.46,105.25,164,236.00,06/24/14
107.42,106.17,107.45,105.91,163,617.00,06/23/14
106.6,107.3,107.73,106.33,28,823.00,06/20/14
106.11,106.4,106.7,105.32,79,809.00,06/19/14
106.6,106.02,106.97,105.8,165,302.00,06/18/14
106.59,106.29,107.18,106.01,226,506.00,06/17/14
106.88,106.88,107.54,106.57,186,779.00,06/16/14
106.84,106.86,107.68,106.37,233,692.00,06/13/14
104.47,106.5,106.95,104.35,301,935.00,06/12/14
104.3,104.4,104.81,104.17,167,476.00,06/11/14
104.46,104.37,105.06,103.98,227,955.00,06/10/14
102.78,104.38,104.57,102.62,217,365.00,06/09/14
102.44,102.72,103.07,102.3,171,236.00,06/06/14
102.37,102.52,102.69,101.6,187,653.00,06/05/14
102.79,102.55,103.69,102.34,194,892.00,06/04/14
102.44,102.72,102.86,102.23,146,878.00,06/03/14
102.92,102.45,103.35,102.1,145,863.00,06/02/14
103.51,102.73,103.56,102.4,149,601.00,05/30/14
103.06,103.62,103.94,102.61,189,908.00,05/29/14
104.14,102.72,104.39,102.64,221,227.00,05/28/14
104.34,104.16,104.5,103.57,159,021.00,05/27/14
103.71,104.36,104.5,103.64,144,618.00,05/23/14
103.85,103.74,104.22,103.55,146,796.00,05/22/14
102.96,104.02,104.29,102.78,257,049.00,05/21/14
102.6,102.51,102.86,102.13,40,810.00,05/20/14
102.13,102.65,103.09,101.97,79,126.00,05/19/14
101.56,102.05,102.23,101.39,132,667.00,05/16/14
102.03,101.49,102.26,101.27,253,674.00,05/15/14
101.91,102.38,102.65,101.83,214,753.00,05/14/14
100.63,101.73,102.05,100.36,222,075.00,05/13/14
100.12,100.59,100.93,99.93,188,758.00,05/12/14
100.27,100.01,101.18,99.71,250,201.00,05/09/14
