, Open
2013-01-01,22.14
2013-01-02,15.24
2013-01-03,14.77
2013-01-04,14.23
2013-01-05,14.23
2013-01-06,14.23
2013-01-07,14.53
2013-01-08,13.88
2013-01-09,13.32
2013-01-10,13.33
2013-01-11,13.55
2013-01-12,13.55
2013-01-13,13.55
2013-01-14,13.66
2013-01-15,13.97
2013-01-16,13.7
2013-01-17,13.45
2013-01-18,13.52
2013-01-19,13.52
2013-01-20,13.52
2013-01-21,13.52
2013-01-22,13.28
2013-01-23,12.67
2013-01-24,12.73
2013-01-25,12.63
2013-01-26,12.63
2013-01-27,12.63
2013-01-28,13.29
2013-01-29,13.87
2013-01-30,13.64
2013-01-31,14.43
2013-02-01,13.37
2013-02-02,13.37
2013-02-03,13.37
2013-02-04,14.0
2013-02-05,14.21
2013-02-06,14.06
2013-02-07,13.47
2013-02-08,13.2
2013-02-09,13.2
2013-02-10,13.2
2013-02-11,13.37
2013-02-12,12.82
2013-02-13,12.88
2013-02-14,13.3
2013-02-15,12.47
2013-02-16,12.47
2013-02-17,12.47
2013-02-18,12.47
2013-02-19,12.81
2013-02-20,12.32
2013-02-21,14.68
2013-02-22,14.6
2013-02-23,14.6
2013-02-24,14.6
2013-02-25,13.69
2013-02-26,17.5
2013-02-27,16.57
2013-02-28,15.0
2013-03-01,16.1
2013-03-02,16.1
2013-03-03,16.1
2013-03-04,16.16
2013-03-05,13.44
2013-03-06,13.18
2013-03-07,13.45
2013-03-08,12.67
2013-03-09,12.67
2013-03-10,12.67
2013-03-11,12.31
2013-03-12,11.79
2013-03-13,12.18
2013-03-14,11.7
2013-03-15,11.52
2013-03-16,11.52
2013-03-17,11.52
2013-03-18,13.47
2013-03-19,13.03
2013-03-20,13.18
2013-03-21,13.07
2013-03-22,13.34
2013-03-23,13.34
2013-03-24,13.34
2013-03-25,12.85
2013-03-26,12.95
2013-03-27,13.72
2013-03-28,12.91
2013-03-29,12.91
2013-03-30,12.91
2013-03-31,12.91
2013-04-01,13.46
2013-04-02,13.11
2013-04-03,12.65
2013-04-04,14.1
2013-04-05,15.64
2013-04-06,15.64
2013-04-07,15.64
2013-04-08,14.04
2013-04-09,13.11
2013-04-10,12.66
2013-04-11,12.55
2013-04-12,12.61
2013-04-13,12.61
2013-04-14,12.61
2013-04-15,13.12
2013-04-16,14.72
2013-04-17,15.35
2013-04-18,16.34
2013-04-19,16.67
2013-04-20,16.67
2013-04-21,16.67
2013-04-22,15.08
2013-04-23,13.81
2013-04-24,13.57
2013-04-25,13.61
2013-04-26,13.94
2013-04-27,13.94
2013-04-28,13.94
2013-04-29,13.72
2013-04-30,13.71
2013-05-01,13.88
2013-05-02,14.48
2013-05-03,12.92
2013-05-04,12.92
2013-05-05,12.92
2013-05-06,13.06
2013-05-07,12.63
2013-05-08,12.87
2013-05-09,12.91
2013-05-10,13.08
2013-05-11,13.08
2013-05-12,13.08
2013-05-13,12.57
2013-05-14,12.61
2013-05-15,12.98
2013-05-16,13.07
2013-05-17,12.73
2013-05-18,12.73
2013-05-19,12.73
2013-05-20,13.28
2013-05-21,13.08
2013-05-22,13.45
2013-05-23,14.94
2013-05-24,14.59
2013-05-25,14.59
2013-05-26,14.59
2013-05-27,14.59
2013-05-28,13.67
2013-05-29,15.3
2013-05-30,14.9
2013-05-31,15.02
2013-06-01,15.02
2013-06-02,15.02
2013-06-03,16.4
2013-06-04,16.16
2013-06-05,16.86
2013-06-06,17.7
2013-06-07,15.9
2013-06-08,15.9
2013-06-09,15.9
2013-06-10,15.16
2013-06-11,16.91
2013-06-12,16.51
2013-06-13,18.38
