"DateTime";"Moms";"Skatt";"Produktkostnad";"Bruttomarginal"
"2013-01-15";2,91;5,35;4,94;1,35
"2013-02-15";2,98;5,37;5,24;1,3
"2013-03-15";2,93;5,37;4,93;1,41
"2013-04-15";2,88;5,37;4,77;1,39
"2013-05-15";2,9;5,37;4,85;1,37
"2013-06-15";2,89;5,37;4,83;1,37
"2013-07-15";2,95;5,37;5,09;1,36
"2013-08-15";2,96;5,37;5,11;1,35
"2013-09-15";2,9;5,37;4,88;1,37
"2013-10-15";2,84;5,37;4,63;1,37
"2013-11-15";2,86;5,37;4,64;1,43
"2013-12-15";2,87;5,37;4,73;1,39
"2014-01-15";2,84;5,37;4,59;1,4
"2014-02-15";2,87;5,37;4,7;1,4
"2014-03-15";2,87;5,37;4,61;1,48
"2014-04-15";2,94;5,37;5,02;1,36
"2014-05-15";2,94;5,37;5;1,41
"2014-06-15";3;5,37;5,25;1,36
"2014-07-15";2,99;5,37;5,2;1,38
"2014-08-15";2,92;5,37;4,96;1,37
"2014-09-15";2,93;5,37;5,06;1,32
"2014-10-15";2,82;5,37;4,51;1,4
"2014-11-15";2,74;5,37;4,23;1,38
"2014-12-15";2,53;5,37;3,28;1,47
"2015-01-15";2,47;5,58;2,93;1,38
"2015-02-15";2,63;5,58;3,6;1,34
"2015-03-15";2,73;5,58;3,94;1,39
"2015-04-15";2,81;5,58;4,24;1,41
"2015-05-15";2,84;5,58;4,36;1,42
"2015-06-15";2,86;5,58;4,48;1,38
"2015-07-15";2,86;5,58;4,52;1,34
"2015-08-15";2,7;5,58;3,85;1,39
"2015-09-15";2,58;5,58;3,4;1,36
"2015-10-15";2,53;5,58;3,18;1,37
"2015-11-15";2,56;5,58;3,31;1,36
"2015-12-15";2,49;5,59;2,9;1,46
"2016-01-15";2,54;6,04;2,66;1,44
"2016-02-15";2,46;6,04;2,39;1,41
"2016-03-15";2,55;6,04;2,58;1,57
"2016-04-15";2,63;6,04;2,99;1,47
"2016-05-15";2,7;6,04;3,24;1,51
"2016-06-15";2,71;6,04;3,35;1,45
"2016-07-15";2,63;6,04;3,03;1,45
"2016-08-15";2,63;6,02;3,11;1,38
"2016-09-15";2,65;6,02;3,24;1,33
"2016-10-15";2,72;6,02;3,53;1,35
"2016-11-15";2,67;6,02;3,32;1,36
"2016-12-15";2,8;6,02;3,77;1,4
"2017-01-15";2,85;6,2;3,84;1,38
"2017-02-15";2,87;6,2;3,93;1,35
"2017-03-15";2,8;6,2;3,66;1,36
"2017-04-15";2,87;6,2;3,92;1,36
"2017-05-15";2,82;6,2;3,7;1,37
"2017-06-15";2,76;6,2;3,52;1,34
"2017-07-15";2,76;6,2;3,4;1,44
"2017-08-15";2,78;6,2;3,53;1,39
"2017-09-15";2,82;6,2;3,7;1,37
"2017-10-15";2,78;6,2;3,59;1,35
"2017-11-15";2,9;6,2;4,03;1,39
"2017-12-15";2,88;6,2;3,92;1,42
"2018-01-15";2,97;6,43;3,99;1,47
"2018-02-15";2,91;6,43;3,85;1,35
"2018-03-15";2,94;6,43;3,81;1,53
"2018-04-15";3,05;6,43;4,43;1,33
"2018-05-15";3,19;6,43;4,86;1,46
"2018-06-15";3,16;6,43;4,75;1,45
"2018-07-15";3,19;6,44;4,8;1,52
"2018-08-15";3,24;6,44;5,05;1,48
"2018-09-15";3,22;6,44;5;1,43
"2018-10-15";3,18;6,44;4,75;1,52
"2018-11-15";2,99;6,44;4,03;1,49
"2018-12-15";2,87;6,44;3,53;1,5
"2019-01-15";2,93;6,7;3,56;1,46
"2019-02-15";3,01;6,7;3,93;1,42
"2019-03-15";3,12;6,7;4,32;1,44
"2019-04-15";3,3;6,7;5,02;1,46
"2019-05-15";3,38;6,7;5,16;1,65
"2019-06-15";3,2;6,7;4,44;1,64
"2019-07-15";3,2;6,58;4,67;1,53
"2019-08-15";3,15;6,58;4,48;1,55
"2019-09-15";3,14;6,58;5,96;0
"2019-10-15";3,15;6,58;6,01;0
"2019-11-15";3,15;6,58;6,01;0
"2019-12-15";3,14;6,58;5,98;0
"2020-01-15";3,2;6,69;6,1;0
"2020-02-15";3,11;6,69;5,74;0
