Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Askim D;72620;2.0

Parameternamn;Beskrivning;Enhet
Nederbörd;1 gång/dygn, kl 18;code

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2016-12-01 06:00:00;2022-02-28 23:59:59;88.33;57.6284;11.9618

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbörd;Kvalitet;;Tidsutsnitt:
2016-12-07 06:00:01;2016-12-08 06:00:00;2016-12-07;regn;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2016-12-09 06:00:01;2016-12-10 06:00:00;2016-12-09;regn;Y;;Tidsperiod (fr.o.m.) = 2016-12-01 06:00:00 (UTC)
2016-12-12 06:00:01;2016-12-13 06:00:00;2016-12-12;duggregn;Y;;Tidsperiod (t.o.m.) = 2021-12-01 06:00:00 (UTC)
2016-12-15 06:00:01;2016-12-16 06:00:00;2016-12-15;duggregn;Y;;Samplingstid = 24 timmar
2016-12-16 06:00:01;2016-12-17 06:00:00;2016-12-16;duggregn;Y;;
2016-12-17 06:00:01;2016-12-18 06:00:00;2016-12-17;duggregn;Y;;Kvalitetskoderna:
2016-12-18 06:00:01;2016-12-19 06:00:00;2016-12-18;duggregn;Y;;Grön (G) = Kontrollerade och godkända värden.
2016-12-19 06:00:01;2016-12-20 06:00:00;2016-12-19;duggregn;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2016-12-21 06:00:01;2016-12-22 06:00:00;2016-12-21;duggregn;Y;;
2016-12-22 06:00:01;2016-12-23 06:00:00;2016-12-22;regn;Y;;Orsaker till saknade data:
2016-12-23 06:00:01;2016-12-24 06:00:00;2016-12-23;regn;Y;;  stationen eller givaren har varit ur funktion.
2016-12-24 06:00:01;2016-12-25 06:00:00;2016-12-24;regn;Y
2016-12-25 06:00:01;2016-12-26 06:00:00;2016-12-25;regn;Y
2016-12-26 06:00:01;2016-12-27 06:00:00;2016-12-26;regn;Y
2016-12-30 06:00:01;2016-12-31 06:00:00;2016-12-30;regn;Y
2016-12-31 06:00:01;2017-01-01 06:00:00;2016-12-31;regn;Y
2017-01-04 06:00:01;2017-01-05 06:00:00;2017-01-04;snowfall;Y
2017-01-06 06:00:01;2017-01-07 06:00:00;2017-01-06;snowfall;Y
2017-01-08 06:00:01;2017-01-09 06:00:00;2017-01-08;duggregn;Y
2017-01-08 06:00:01;2017-01-09 06:00:00;2017-01-08;regn;Y
2017-01-08 06:00:01;2017-01-09 06:00:00;2017-01-08;snöblandat regn;Y
2017-01-09 06:00:01;2017-01-10 06:00:00;2017-01-09;duggregn;Y
2017-01-10 06:00:01;2017-01-11 06:00:00;2017-01-10;duggregn;Y
2017-01-10 06:00:01;2017-01-11 06:00:00;2017-01-10;regn;Y
2017-01-11 06:00:01;2017-01-12 06:00:00;2017-01-11;regn;Y
2017-01-12 06:00:01;2017-01-13 06:00:00;2017-01-12;regn;Y
2017-01-13 06:00:01;2017-01-14 06:00:00;2017-01-13;duggregn;Y
2017-01-21 06:00:01;2017-01-22 06:00:00;2017-01-21;regn;G
2017-01-22 06:00:01;2017-01-23 06:00:00;2017-01-22;duggregn;G
2017-01-29 06:00:01;2017-01-30 06:00:00;2017-01-29;regn;G
2017-01-31 06:00:01;2017-02-01 06:00:00;2017-01-31;duggregn;G
2017-02-01 06:00:01;2017-02-02 06:00:00;2017-02-01;duggregn;G
2017-02-04 06:00:01;2017-02-05 06:00:00;2017-02-04;regn;G
2017-02-05 06:00:01;2017-02-06 06:00:00;2017-02-05;regn;G
2017-02-08 06:00:01;2017-02-09 06:00:00;2017-02-08;snowfall;G
2017-02-09 06:00:01;2017-02-10 06:00:00;2017-02-09;snowfall;G
2017-02-17 06:00:01;2017-02-18 06:00:00;2017-02-17;duggregn;G
2017-02-17 06:00:01;2017-02-18 06:00:00;2017-02-17;regn;G
2017-02-19 06:00:01;2017-02-20 06:00:00;2017-02-19;regn;G
2017-02-20 06:00:01;2017-02-21 06:00:00;2017-02-20;regn;G
2017-02-21 06:00:01;2017-02-22 06:00:00;2017-02-21;regn;G
2017-02-22 06:00:01;2017-02-23 06:00:00;2017-02-22;duggregn;G
2017-02-25 06:00:01;2017-02-26 06:00:00;2017-02-25;regn;G
2017-02-26 06:00:01;2017-02-27 06:00:00;2017-02-26;regn;G
2017-02-27 06:00:01;2017-02-28 06:00:00;2017-02-27;regn;G
2017-02-28 06:00:01;2017-03-01 06:00:00;2017-02-28;regn;G
2017-03-01 06:00:01;2017-03-02 06:00:00;2017-03-01;regn;G
2017-03-02 06:00:01;2017-03-03 06:00:00;2017-03-02;duggregn;G
2017-03-05 06:00:01;2017-03-06 06:00:00;2017-03-05;snowfall;G
2017-03-08 06:00:01;2017-03-09 06:00:00;2017-03-08;duggregn;G
2017-03-08 06:00:01;2017-03-09 06:00:00;2017-03-08;regn;G
2017-03-09 06:00:01;2017-03-10 06:00:00;2017-03-09;duggregn;G
2017-03-14 06:00:01;2017-03-15 06:00:00;2017-03-14;duggregn;G
2017-03-16 06:00:01;2017-03-17 06:00:00;2017-03-16;regn;G
2017-03-17 06:00:01;2017-03-18 06:00:00;2017-03-17;duggregn;G
2017-03-19 06:00:01;2017-03-20 06:00:00;2017-03-19;regn;G
2017-03-20 06:00:01;2017-03-21 06:00:00;2017-03-20;regn;G
2017-03-21 06:00:01;2017-03-22 06:00:00;2017-03-21;regn;G
2017-03-27 06:00:01;2017-03-28 06:00:00;2017-03-27;duggregn;G
2017-03-28 06:00:01;2017-03-29 06:00:00;2017-03-28;regn;G
2017-03-29 06:00:01;2017-03-30 06:00:00;2017-03-29;regn;G
2017-03-30 06:00:01;2017-03-31 06:00:00;2017-03-30;regn;G
2017-03-31 06:00:01;2017-04-01 06:00:00;2017-03-31;regn;G
2017-04-01 06:00:01;2017-04-02 06:00:00;2017-04-01;duggregn;G
2017-04-09 06:00:01;2017-04-10 06:00:00;2017-04-09;regn;G
2017-04-11 06:00:01;2017-04-12 06:00:00;2017-04-11;regn;G
2017-04-12 06:00:01;2017-04-13 06:00:00;2017-04-12;regn;G
2017-04-13 06:00:01;2017-04-14 06:00:00;2017-04-13;regn;G
2017-04-16 06:00:01;2017-04-17 06:00:00;2017-04-16;regn;G
2017-04-16 06:00:01;2017-04-17 06:00:00;2017-04-16;snowfall;G
2017-04-18 06:00:01;2017-04-19 06:00:00;2017-04-18;duggregn;G
2017-04-23 06:00:01;2017-04-24 06:00:00;2017-04-23;regn;G
2017-04-24 06:00:01;2017-04-25 06:00:00;2017-04-24;regn;G
2017-04-25 06:00:01;2017-04-26 06:00:00;2017-04-25;regn;G
2017-04-27 06:00:01;2017-04-28 06:00:00;2017-04-27;regn;G
2017-04-28 06:00:01;2017-04-29 06:00:00;2017-04-28;regn;G
2017-05-10 06:00:01;2017-05-11 06:00:00;2017-05-10;regn;G
2017-05-11 06:00:01;2017-05-12 06:00:00;2017-05-11;duggregn;G
2017-05-12 06:00:01;2017-05-13 06:00:00;2017-05-12;duggregn;G
2017-05-13 06:00:01;2017-05-14 06:00:00;2017-05-13;regn;G
2017-05-14 06:00:01;2017-05-15 06:00:00;2017-05-14;regn;G
2017-05-16 06:00:01;2017-05-17 06:00:00;2017-05-16;regn;G
2017-05-17 06:00:01;2017-05-18 06:00:00;2017-05-17;regn;G
2017-05-23 06:00:01;2017-05-24 06:00:00;2017-05-23;regn;G
2017-05-28 06:00:01;2017-05-29 06:00:00;2017-05-28;regn;G
2017-05-29 06:00:01;2017-05-30 06:00:00;2017-05-29;regn;G
2017-05-30 06:00:01;2017-05-31 06:00:00;2017-05-30;regn;G
2017-05-31 06:00:01;2017-06-01 06:00:00;2017-05-31;regn;G
2017-06-02 06:00:01;2017-06-03 06:00:00;2017-06-02;duggregn;G
2017-06-03 06:00:01;2017-06-04 06:00:00;2017-06-03;regn;G
2017-06-04 06:00:01;2017-06-05 06:00:00;2017-06-04;regn;G
2017-06-05 06:00:01;2017-06-06 06:00:00;2017-06-05;regn;G
2017-06-06 06:00:01;2017-06-07 06:00:00;2017-06-06;regn;G
2017-06-07 06:00:01;2017-06-08 06:00:00;2017-06-07;regn;G
