Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsborg 2;97160;2.0

Parameternamn;Beskrivning;Enhet
Nederbörd;1 gång/dygn, kl 18;code

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1968-01-01 00:00:00;1974-12-31 23:59:59;15.0;59.2524;17.7989
1975-01-01 00:00:00;2022-02-28 23:59:59;8.671;59.2518;17.7960

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbörd;Kvalitet;;Tidsutsnitt:
1968-01-10 06:00:01;1968-01-11 06:00:00;1968-01-10;snowfall;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1968-01-12 06:00:01;1968-01-13 06:00:00;1968-01-12;snowfall;Y;;Tidsperiod (fr.o.m.) = 1968-01-01 00:00:00 (UTC)
1968-01-14 06:00:01;1968-01-15 06:00:00;1968-01-14;snowfall;Y;;Tidsperiod (t.o.m.) = 2021-12-01 06:00:00 (UTC)
1968-01-15 06:00:01;1968-01-16 06:00:00;1968-01-15;snowfall;Y;;Samplingstid = 24 timmar
1968-01-16 06:00:01;1968-01-17 06:00:00;1968-01-16;snowfall;Y;;
1968-01-17 06:00:01;1968-01-18 06:00:00;1968-01-17;snowfall;Y;;Kvalitetskoderna:
1968-01-18 06:00:01;1968-01-19 06:00:00;1968-01-18;snowfall;Y;;Grön (G) = Kontrollerade och godkända värden.
1968-01-23 06:00:01;1968-01-24 06:00:00;1968-01-23;snowfall;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1968-01-24 06:00:01;1968-01-25 06:00:00;1968-01-24;snowfall;Y;;
1968-01-25 06:00:01;1968-01-26 06:00:00;1968-01-25;snowfall;Y;;Orsaker till saknade data:
1968-01-26 06:00:01;1968-01-27 06:00:00;1968-01-26;snowfall;Y;;  stationen eller givaren har varit ur funktion.
1968-01-27 06:00:01;1968-01-28 06:00:00;1968-01-27;snowfall;Y
1968-01-29 06:00:01;1968-01-30 06:00:00;1968-01-29;duggregn;Y
1968-01-30 06:00:01;1968-01-31 06:00:00;1968-01-30;duggregn;Y
1968-01-31 06:00:01;1968-02-01 06:00:00;1968-01-31;duggregn;Y
1968-05-01 06:00:01;1968-05-02 06:00:00;1968-05-01;duggregn;Y
1968-05-01 06:00:01;1968-05-02 06:00:00;1968-05-01;regn;Y
1968-05-02 06:00:01;1968-05-03 06:00:00;1968-05-02;regn;Y
1968-05-05 06:00:01;1968-05-06 06:00:00;1968-05-05;regn;Y
1968-05-06 06:00:01;1968-05-07 06:00:00;1968-05-06;regnskurar;Y
1968-05-07 06:00:01;1968-05-08 06:00:00;1968-05-07;regn;Y
1968-05-10 06:00:01;1968-05-11 06:00:00;1968-05-10;regn;Y
