Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-10-01 00:00:00;2022-03-28 17:00:00;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2021-11-18 00:00:01;2021-11-19 00:00:00;2021-11-18;3.8;Y;;Data från senaste fyra månaderna
2021-11-19 00:00:01;2021-11-20 00:00:00;2021-11-19;7.8;Y;;Tidsperiod (fr.o.m.) = 2021-11-18 00:00:01 (UTC)
2021-11-20 00:00:01;2021-11-21 00:00:00;2021-11-20;6.4;Y;;Tidsperiod (t.o.m.) = 2022-03-28 17:00:00 (UTC)
2021-11-21 00:00:01;2021-11-22 00:00:00;2021-11-21;1.0;Y;;Medelvärdet är beräknat för = 24 timmar
2021-11-22 00:00:01;2021-11-23 00:00:00;2021-11-22;-0.8;Y;;
2021-11-23 00:00:01;2021-11-24 00:00:00;2021-11-23;2.0;Y;;Kvalitetskoderna:
2021-11-24 00:00:01;2021-11-25 00:00:00;2021-11-24;4.1;Y;;Grön (G) = Kontrollerade och godkända värden.
2021-11-25 00:00:01;2021-11-26 00:00:00;2021-11-25;4.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2021-11-26 00:00:01;2021-11-27 00:00:00;2021-11-26;-2.5;Y;;
2021-11-27 00:00:01;2021-11-28 00:00:00;2021-11-27;-1.3;Y;;Orsaker till saknade data:
2021-11-28 00:00:01;2021-11-29 00:00:00;2021-11-28;-2.2;Y;;  stationen eller givaren har varit ur funktion.
2021-11-29 00:00:01;2021-11-30 00:00:00;2021-11-29;-4.0;Y
2021-11-30 00:00:01;2021-12-01 00:00:00;2021-11-30;-5.9;Y
2021-12-01 00:00:01;2021-12-02 00:00:00;2021-12-01;-6.9;Y
2021-12-02 00:00:01;2021-12-03 00:00:00;2021-12-02;-2.9;Y
2021-12-03 00:00:01;2021-12-04 00:00:00;2021-12-03;-5.4;Y
2021-12-04 00:00:01;2021-12-05 00:00:00;2021-12-04;-4.8;Y
2021-12-05 00:00:01;2021-12-06 00:00:00;2021-12-05;-5.9;Y
2021-12-06 00:00:01;2021-12-07 00:00:00;2021-12-06;-10.8;Y
2021-12-07 00:00:01;2021-12-08 00:00:00;2021-12-07;-11.0;Y
2021-12-08 00:00:01;2021-12-09 00:00:00;2021-12-08;-2.4;Y
2021-12-09 00:00:01;2021-12-10 00:00:00;2021-12-09;0.5;Y
2021-12-10 00:00:01;2021-12-11 00:00:00;2021-12-10;1.9;Y
2021-12-11 00:00:01;2021-12-12 00:00:00;2021-12-11;2.5;Y
2021-12-12 00:00:01;2021-12-13 00:00:00;2021-12-12;2.0;Y
2021-12-13 00:00:01;2021-12-14 00:00:00;2021-12-13;0.8;Y
2021-12-14 00:00:01;2021-12-15 00:00:00;2021-12-14;3.2;Y
2021-12-15 00:00:01;2021-12-16 00:00:00;2021-12-15;5.7;Y
2021-12-16 00:00:01;2021-12-17 00:00:00;2021-12-16;4.7;Y
2021-12-17 00:00:01;2021-12-18 00:00:00;2021-12-17;3.1;Y
2021-12-18 00:00:01;2021-12-19 00:00:00;2021-12-18;5.7;Y
2021-12-19 00:00:01;2021-12-20 00:00:00;2021-12-19;3.0;Y
2021-12-20 00:00:01;2021-12-21 00:00:00;2021-12-20;-2.4;Y
2021-12-21 00:00:01;2021-12-22 00:00:00;2021-12-21;-6.1;Y
2021-12-22 00:00:01;2021-12-23 00:00:00;2021-12-22;-5.4;Y
2021-12-23 00:00:01;2021-12-24 00:00:00;2021-12-23;-2.1;Y
2021-12-24 00:00:01;2021-12-25 00:00:00;2021-12-24;-8.3;Y
2021-12-25 00:00:01;2021-12-26 00:00:00;2021-12-25;-5.7;Y
2021-12-26 00:00:01;2021-12-27 00:00:00;2021-12-26;-4.8;Y
2021-12-27 00:00:01;2021-12-28 00:00:00;2021-12-27;-4.0;Y
2021-12-28 00:00:01;2021-12-29 00:00:00;2021-12-28;-0.0;Y
2021-12-29 00:00:01;2021-12-30 00:00:00;2021-12-29;0.6;Y
2021-12-30 00:00:01;2021-12-31 00:00:00;2021-12-30;2.6;Y
2021-12-31 00:00:01;2022-01-01 00:00:00;2021-12-31;4.0;Y
2022-01-01 00:00:01;2022-01-02 00:00:00;2022-01-01;-0.7;Y
2022-01-02 00:00:01;2022-01-03 00:00:00;2022-01-02;2.6;Y
