Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet
2021-12-01 06:00:01;2021-12-02 06:00:00;2021-12-01;2.2;Y
2021-12-02 06:00:01;2021-12-03 06:00:00;2021-12-02;0.6;Y
2021-12-03 06:00:01;2021-12-04 06:00:00;2021-12-03;0.0;Y
2021-12-04 06:00:01;2021-12-05 06:00:00;2021-12-04;0.0;Y
2021-12-05 06:00:01;2021-12-06 06:00:00;2021-12-05;0.0;Y
2021-12-06 06:00:01;2021-12-07 06:00:00;2021-12-06;0.0;Y
2021-12-07 06:00:01;2021-12-08 06:00:00;2021-12-07;0.0;Y
2021-12-08 06:00:01;2021-12-09 06:00:00;2021-12-08;0.0;Y
2021-12-09 06:00:01;2021-12-10 06:00:00;2021-12-09;1.3;Y
2021-12-10 06:00:01;2021-12-11 06:00:00;2021-12-10;7.1;Y
2021-12-11 06:00:01;2021-12-12 06:00:00;2021-12-11;0.5;Y
2021-12-12 06:00:01;2021-12-13 06:00:00;2021-12-12;0.0;Y
2021-12-13 06:00:01;2021-12-14 06:00:00;2021-12-13;1.9;Y
2021-12-14 06:00:01;2021-12-15 06:00:00;2021-12-14;0.1;Y
2021-12-15 06:00:01;2021-12-16 06:00:00;2021-12-15;0.1;Y
2021-12-16 06:00:01;2021-12-17 06:00:00;2021-12-16;0.0;Y
2021-12-17 06:00:01;2021-12-18 06:00:00;2021-12-17;0.0;Y
2021-12-18 06:00:01;2021-12-19 06:00:00;2021-12-18;0.0;Y
2021-12-19 06:00:01;2021-12-20 06:00:00;2021-12-19;0.5;Y
2021-12-20 06:00:01;2021-12-21 06:00:00;2021-12-20;0.0;Y
2021-12-21 06:00:01;2021-12-22 06:00:00;2021-12-21;0.0;Y
2021-12-22 06:00:01;2021-12-23 06:00:00;2021-12-22;0.0;Y
2021-12-23 06:00:01;2021-12-24 06:00:00;2021-12-23;2.1;Y
2021-12-24 06:00:01;2021-12-25 06:00:00;2021-12-24;0.0;Y
2021-12-25 06:00:01;2021-12-26 06:00:00;2021-12-25;0.0;Y
2021-12-26 06:00:01;2021-12-27 06:00:00;2021-12-26;0.0;Y
2021-12-27 06:00:01;2021-12-28 06:00:00;2021-12-27;0.0;Y
2021-12-28 06:00:01;2021-12-29 06:00:00;2021-12-28;2.0;Y
2021-12-29 06:00:01;2021-12-30 06:00:00;2021-12-29;2.7;Y
2021-12-30 06:00:01;2021-12-31 06:00:00;2021-12-30;0.7;Y
2021-12-31 06:00:01;2022-01-01 06:00:00;2021-12-31;0.4;Y
2022-01-01 06:00:01;2022-01-02 06:00:00;2022-01-01;5.7;Y
2022-01-02 06:00:01;2022-01-03 06:00:00;2022-01-02;0.8;Y
2022-01-03 06:00:01;2022-01-04 06:00:00;2022-01-03;4.2;Y
2022-01-04 06:00:01;2022-01-05 06:00:00;2022-01-04;0.0;Y
2022-01-05 06:00:01;2022-01-06 06:00:00;2022-01-05;0.5;Y
2022-01-06 06:00:01;2022-01-07 06:00:00;2022-01-06;0.0;Y
2022-01-07 06:00:01;2022-01-08 06:00:00;2022-01-07;2.8;Y
2022-01-08 06:00:01;2022-01-09 06:00:00;2022-01-08;0.0;Y
2022-01-09 06:00:01;2022-01-10 06:00:00;2022-01-09;0.0;Y
2022-01-10 06:00:01;2022-01-11 06:00:00;2022-01-10;0.0;Y
2022-01-11 06:00:01;2022-01-12 06:00:00;2022-01-11;0.5;Y
2022-01-12 06:00:01;2022-01-13 06:00:00;2022-01-12;0.0;Y
2022-01-13 06:00:01;2022-01-14 06:00:00;2022-01-13;0.0;Y
2022-01-14 06:00:01;2022-01-15 06:00:00;2022-01-14;0.0;Y
2022-01-15 06:00:01;2022-01-16 06:00:00;2022-01-15;0.0;Y
