"Date","Price","Open","High","Low","Change %"
"Feb 19, 2020","0.1022","0.1022","0.1024","0.1019","0.00%"
"Feb 18, 2020","0.1022","0.1032","0.1032","0.1022","-0.97%"
"Feb 17, 2020","0.1032","0.1029","0.1032","0.1028","0.39%"
"Feb 14, 2020","0.1028","0.1034","0.1034","0.1028","-0.58%"
"Feb 13, 2020","0.1034","0.1038","0.1039","0.1032","-0.39%"
"Feb 12, 2020","0.1038","0.1038","0.1041","0.1037","0.10%"
"Feb 11, 2020","0.1037","0.1035","0.1039","0.1033","0.19%"
"Feb 10, 2020","0.1035","0.1035","0.1038","0.1032","0.00%"
"Feb 07, 2020","0.1035","0.1039","0.1041","0.1035","-0.38%"
"Feb 06, 2020","0.1039","0.1043","0.1044","0.1037","-0.38%"
"Feb 05, 2020","0.1043","0.1043","0.1047","0.1041","0.00%"
"Feb 04, 2020","0.1043","0.1036","0.1043","0.1036","0.68%"
"Feb 03, 2020","0.1036","0.1039","0.1040","0.1034","-0.29%"
"Jan 31, 2020","0.1039","0.1038","0.1040","0.1032","0.10%"
"Jan 30, 2020","0.1038","0.1039","0.1040","0.1035","-0.10%"
"Jan 29, 2020","0.1039","0.1041","0.1042","0.1037","-0.10%"
"Jan 28, 2020","0.1040","0.1039","0.1041","0.1037","0.10%"
"Jan 27, 2020","0.1039","0.1045","0.1047","0.1037","-0.57%"
"Jan 24, 2020","0.1045","0.1049","0.1050","0.1044","-0.38%"
"Jan 23, 2020","0.1049","0.1052","0.1054","0.1046","-0.38%"
"Jan 22, 2020","0.1053","0.1050","0.1053","0.1049","0.38%"
"Jan 21, 2020","0.1049","0.1050","0.1054","0.1048","-0.10%"
"Jan 20, 2020","0.1050","0.1051","0.1053","0.1049","0.00%"
"Jan 17, 2020","0.1050","0.1054","0.1055","0.1050","-0.38%"
"Jan 16, 2020","0.1054","0.1057","0.1058","0.1053","-0.28%"
"Jan 15, 2020","0.1057","0.1057","0.1059","0.1054","0.00%"
"Jan 14, 2020","0.1057","0.1057","0.1058","0.1055","0.09%"
"Jan 13, 2020","0.1056","0.1053","0.1058","0.1049","0.38%"
"Jan 10, 2020","0.1052","0.1054","0.1055","0.1050","-0.19%"
"Jan 09, 2020","0.1054","0.1057","0.1059","0.1053","-0.28%"
"Jan 08, 2020","0.1057","0.1058","0.1061","0.1054","0.00%"
"Jan 07, 2020","0.1057","0.1064","0.1065","0.1055","-0.66%"
"Jan 06, 2020","0.1064","0.1065","0.1065","0.1059","0.00%"
"Jan 03, 2020","0.1064","0.1068","0.1069","0.1057","-0.37%"
"Jan 02, 2020","0.1068","0.1068","0.1073","0.1067","0.00%"
"Jan 01, 2020","0.1068","0.1067","0.1068","0.1067","0.00%"
